# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,1 +no_isomalloc_sync
Msg size, Bandwidth (MB/s)
1,1.127
2,2.262
4,4.485
8,8.903
16,18.406
32,34.540
64,66.519
128,131.057
256,241.455
512,425.404
1024,700.601
2048,953.930
4096,1162.071
8192,1284.062
16384,1452.738
32768,1520.795
65536,3005.149
131072,3591.815
262144,981.685
524288,808.337
1048576,701.989
2097152,912.111
4194304,974.895
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,1 +no_isomalloc_sync
1,1.102
2,2.240
4,4.536
8,8.898
16,18.026
32,33.685
64,65.172
128,127.767
256,246.569
512,446.412
1024,713.625
2048,948.073
4096,1172.618
8192,1300.702
16384,1475.189
32768,1556.546
65536,3660.572
131072,3533.233
262144,965.792
524288,789.110
1048576,699.872
2097152,745.244
4194304,935.552
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,1 +no_isomalloc_sync
1,1.087
2,2.256
4,4.484
8,9.043
16,18.020
32,33.768
64,68.091
128,130.157
256,248.558
512,447.522
1024,698.063
2048,930.988
4096,1155.926
8192,1300.188
16384,1474.978
32768,1555.292
65536,3677.125
131072,3508.295
262144,949.284
524288,789.853
1048576,747.803
2097152,725.500
4194304,873.728
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,1 +no_isomalloc_sync
1,1.095
2,2.223
4,4.419
8,9.116
16,18.381
32,34.067
64,67.020
128,129.310
256,241.354
512,452.381
1024,721.628
2048,963.681
4096,1169.850
8192,1304.278
16384,1440.272
32768,1537.519
65536,2955.919
131072,3540.882
262144,956.800
524288,786.887
1048576,704.797
2097152,662.974
4194304,931.023
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,1 +no_isomalloc_sync
1,1.114
2,2.236
4,4.599
8,9.208
16,18.408
32,34.746
64,67.817
128,132.733
256,247.787
512,446.202
1024,709.208
2048,954.326
4096,1170.106
8192,1294.321
16384,1471.387
32768,1540.633
65536,3629.100
131072,3697.860
262144,1005.266
524288,811.953
1048576,690.163
2097152,664.136
4194304,930.919
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,1 +no_isomalloc_sync
1,1.116
2,2.269
4,4.552
8,9.007
16,18.661
32,34.902
64,68.284
128,133.451
256,248.536
512,433.727
1024,680.256
2048,921.774
4096,1123.130
8192,1265.795
16384,1446.239
32768,1537.274
65536,3601.370
131072,3617.193
262144,1008.751
524288,808.620
1048576,699.509
2097152,665.202
4194304,931.021
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,1 +no_isomalloc_sync
1,1.120
2,2.275
4,4.621
8,9.231
16,18.200
32,33.657
64,66.733
128,130.315
256,243.029
512,441.770
1024,702.866
2048,968.247
4096,1173.860
8192,1300.952
16384,1466.903
32768,1513.747
65536,3684.361
131072,3490.311
262144,977.573
524288,814.218
1048576,700.411
2097152,1072.960
4194304,1245.760
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,1 +no_isomalloc_sync
1,1.060
2,2.158
4,4.574
8,9.165
16,18.401
32,35.155
64,68.635
128,134.447
256,254.320
512,459.364
1024,717.963
2048,963.339
4096,1177.331
8192,1282.112
16384,1478.512
32768,1565.055
65536,3698.938
131072,3294.213
262144,962.628
524288,785.887
1048576,692.231
2097152,672.293
4194304,933.276
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,1 +no_isomalloc_sync
1,1.114
2,2.260
4,4.614
8,9.157
16,18.273
32,34.377
64,66.610
128,128.550
256,241.536
512,438.130
1024,709.031
2048,965.735
4096,1178.592
8192,1302.485
16384,1454.891
32768,1522.384
65536,3594.029
131072,3623.658
262144,982.054
524288,810.610
1048576,701.673
2097152,663.907
4194304,935.437
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0,1 +no_isomalloc_sync
1,1.114
2,2.228
4,4.498
8,9.272
16,18.258
32,34.554
64,66.706
128,127.843
256,248.343
512,461.108
1024,719.415
2048,971.744
4096,1180.235
8192,1303.407
16384,1469.865
32768,1559.883
65536,3687.962
131072,3647.401
262144,959.904
524288,786.821
1048576,701.694
2097152,764.913
4194304,961.686
