# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_internode
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,0.9543515503470106
0,2,1000,1.9153541031171846
0,4,1000,3.6761497503200204
0,8,1000,7.649236080548116
0,16,1000,14.913110016056889
0,32,1000,29.882947809134265
0,64,1000,60.44127866314871
0,128,1000,119.96557071186402
0,256,1000,234.37820931900396
0,512,1000,454.4029009468719
0,1024,1000,872.3717139148908
0,2048,1000,1664.1376032392448
0,4096,1000,2912.210321938409
0,8192,1000,4503.92960326895
0,16384,100,5612.286091541751
0,32768,100,9625.535163150858
0,65536,100,10494.628079565151
0,131072,100,11369.435798822204
0,262144,100,11843.393247026037
0,524288,100,12104.936599281915
0,1048576,100,12229.900982378285
0,2097152,100,12297.143418300016
0,4194304,100,12329.96825291257
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_internode
0,1,1000,0.9602793832846562
0,2,1000,1.9675774646758175
0,4,1000,3.9847054299736904
0,8,1000,7.90519522768519
0,16,1000,15.66017318922955
0,32,1000,31.49416950913698
0,64,1000,60.45209207391286
0,128,1000,125.2420098579626
0,256,1000,237.3500012886814
0,512,1000,465.3821592963111
0,1024,1000,900.8715140427214
0,2048,1000,1654.9977290745533
0,4096,1000,2894.764949289967
0,8192,1000,4535.732863555975
0,16384,100,5588.143361636655
0,32768,100,9672.996228163687
0,65536,100,10533.818357835906
0,131072,100,11373.751692691729
0,262144,100,11839.628043238925
0,524288,100,12099.615791951757
0,1048576,100,12214.471895561606
0,2097152,100,12289.635851444855
0,4194304,100,12333.410225099258
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_internode
0,1,1000,0.9747723911263717
0,2,1000,1.976276584199629
0,4,1000,3.93303176823003
0,8,1000,7.865913172683348
0,16,1000,15.369703764093604
0,32,1000,31.098934430138772
0,64,1000,60.815078693215874
0,128,1000,126.78055938704122
0,256,1000,240.16648041514395
0,512,1000,467.77987574438623
0,1024,1000,895.554014562271
0,2048,1000,1671.6426660628342
0,4096,1000,2907.847109375619
0,8192,1000,4479.90137914535
0,16384,100,5698.380417017949
0,32768,100,9683.017314469871
0,65536,100,10412.905704445511
0,131072,100,11368.96194212284
0,262144,100,11840.54693932378
0,524288,100,12045.041702130397
0,1048576,100,12213.399815779972
0,2097152,100,12300.694427417215
0,4194304,100,12342.087309773357
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_internode
0,1,1000,0.9473451928840931
0,2,1000,1.927842232853302
0,4,1000,3.8767524490802856
0,8,1000,7.7393498154471425
0,16,1000,14.93404543020326
0,32,1000,30.33673217324726
0,64,1000,60.84641295240691
0,128,1000,127.91422447568884
0,256,1000,239.87241797179544
0,512,1000,468.89750213212574
0,1024,1000,911.7038061762668
0,2048,1000,1704.5204990151901
0,4096,1000,2948.2819992048253
0,8192,1000,4540.931973238353
0,16384,100,5729.024141601012
0,32768,100,9651.3976169783
0,65536,100,10497.456372059794
0,131072,100,11352.417258616097
0,262144,100,11831.168578273857
0,524288,100,12101.25869954006
0,1048576,100,12226.306374389333
0,2097152,100,12290.011115826255
0,4194304,100,12331.264310704339
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_internode
0,1,1000,0.9472604423370526
0,2,1000,1.907269651264801
0,4,1000,3.899813567743121
0,8,1000,7.966258688716246
0,16,1000,15.178357938753578
0,32,1000,30.445759073169455
0,64,1000,60.53095506409993
0,128,1000,121.48992673538777
0,256,1000,234.98856813030903
0,512,1000,456.8713784175849
0,1024,1000,878.9286159541743
0,2048,1000,1640.0936037180657
0,4096,1000,2909.69461544989
0,8192,1000,4469.970856544406
0,16384,100,5584.651432419928
0,32768,100,9455.922888933956
0,65536,100,10486.634819073159
0,131072,100,11343.109358631427
0,262144,100,11843.213074203803
0,524288,100,12096.896014471837
0,1048576,100,12212.19037037416
0,2097152,100,12292.631876767995
0,4194304,100,12331.312973434726
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_internode
0,1,1000,0.9467779797273893
0,2,1000,1.9293331634204518
0,4,1000,3.8248815804695786
0,8,1000,7.612011821305111
0,16,1000,14.915590288057903
0,32,1000,29.67525060277637
0,64,1000,57.51938180088219
0,128,1000,119.35508745690895
0,256,1000,230.80948755005116
0,512,1000,448.21821117973116
0,1024,1000,866.7506660521171
0,2048,1000,1642.7034553289207
0,4096,1000,2892.2953879833194
0,8192,1000,4441.918717633244
0,16384,100,5765.826741693726
0,32768,100,9723.97693193884
0,65536,100,10475.378920441579
0,131072,100,11367.33918895178
0,262144,100,11845.154775730023
0,524288,100,12114.391725249186
0,1048576,100,12225.59880770404
0,2097152,100,12295.084851993022
0,4194304,100,12332.447297379502
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_internode
0,1,1000,0.9285618968642556
0,2,1000,1.8939483572132862
0,4,1000,3.7467304722132186
0,8,1000,7.629182571159572
0,16,1000,14.223507025885397
0,32,1000,28.403618507193933
0,64,1000,56.44702551583924
0,128,1000,117.8603021035778
0,256,1000,228.89484285564583
0,512,1000,446.27364419028356
0,1024,1000,858.2523365158553
0,2048,1000,1603.2198610171079
0,4096,1000,2788.945937284535
0,8192,1000,4407.770742075197
0,16384,100,5520.187132558065
0,32768,100,9487.753994565746
0,65536,100,10304.339614026294
0,131072,100,11361.785162163525
0,262144,100,11815.49313978154
0,524288,100,12084.07768850458
0,1048576,100,12216.711025906763
0,2097152,100,12290.186567070361
