Msg Size, Bandwidth (MB/s)
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,3.65
2,8.06
4,14.69
8,32.16
1,62.77
3,61.04
6,121.73
1,238.62
2,463.15
5,803.84
1,1126.82
2,2116.39
4,3250.96
8,3469.76
1,8208.44
3,11983.86
6,14615.91
1,16436.59
2,17521.18
5,16653.82
1,11499.11
2,9442.54
4,9314.33
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,3.65
2,7.53
4,15.40
8,30.92
1,61.76
3,60.83
6,121.93
1,240.83
2,463.69
5,820.77
1,1161.38
2,2170.39
4,3328.52
8,3589.08
1,8816.54
3,12278.49
6,15958.00
1,18485.77
2,19844.88
5,15719.39
1,11988.79
2,9745.98
4,9466.48
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,3.97
2,8.14
4,16.03
8,32.18
1,65.23
3,60.26
6,120.41
1,238.36
2,461.52
5,862.35
1,1197.49
2,2163.06
4,3291.91
8,3536.19
1,8971.79
3,12490.26
6,15864.54
1,18441.69
2,19913.69
5,15886.34
1,12823.01
2,9770.85
4,9462.87
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,3.55
2,7.22
4,14.38
8,32.48
1,58.60
3,60.68
6,121.75
1,239.93
2,462.44
5,854.60
1,1192.70
2,2151.98
4,3317.46
8,3495.89
1,8314.05
3,10920.76
6,13433.10
1,15096.50
2,14505.52
5,15290.18
1,12022.80
2,9145.92
4,9165.12
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,3.80
2,7.71
4,15.52
8,31.86
1,60.68
3,60.74
6,121.13
1,239.83
2,464.01
5,853.63
1,1149.65
2,2190.46
4,3406.59
8,3515.98
1,9058.56
3,12503.98
6,15988.19
1,18485.23
2,19920.99
5,16084.12
1,12531.80
2,9708.83
4,9546.74
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,3.60
2,7.53
4,13.51
8,31.81
1,60.62
3,60.58
6,121.29
1,238.76
2,459.22
5,842.07
1,1129.03
2,2159.90
4,3313.91
8,3609.15
1,8906.52
3,12600.38
6,16001.53
1,18535.08
2,19614.04
5,17554.53
1,11946.96
2,9352.82
4,9080.16
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,3.47
2,7.75
4,14.98
8,31.00
1,58.76
3,60.94
6,121.79
1,240.55
2,464.23
5,806.47
1,1185.93
2,2157.95
4,3317.09
8,3489.37
1,9058.49
3,12440.70
6,16042.47
1,18508.91
2,19666.33
5,17109.44
1,11757.41
2,9342.22
4,9496.12
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,3.46
2,7.18
4,13.27
8,26.85
1,59.00
3,60.81
6,121.05
1,237.93
2,460.22
5,844.08
1,1134.17
2,2154.32
4,3273.80
8,3486.38
1,8642.75
3,12495.56
6,15789.92
1,18296.67
2,19152.22
5,17386.89
1,11953.12
2,9533.87
4,9301.07
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,3.83
2,7.81
4,15.83
8,31.08
1,63.42
3,60.63
6,121.74
1,239.99
2,462.12
5,860.27
1,1145.11
2,2141.10
4,3265.99
8,3522.38
1,8054.77
3,11721.09
6,14554.54
1,16366.25
2,17585.11
5,16345.28
1,11967.75
2,9319.28
4,9134.25
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,3.68
2,7.28
4,14.87
8,31.03
1,57.48
3,60.47
6,122.01
1,241.49
2,462.48
5,842.68
1,1130.31
2,2149.89
4,3264.04
8,3746.59
1,8918.72
3,12303.60
6,15831.73
1,18319.12
2,19401.16
5,16810.79
1,12168.93
2,9651.63
4,9358.20
