Msg Size, Bandwidth (MB/s)
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,5.31
2,10.89
4,22.26
8,43.58
1,85.03
3,114.74
6,231.91
1,446.50
2,869.49
5,1707.23
1,3052.00
2,5440.10
4,9047.71
8,11134.86
1,9008.53
3,12516.11
6,15704.97
1,18011.08
2,19509.96
5,17119.28
1,12314.71
2,9498.93
4,9265.30
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,5.21
2,10.82
4,21.81
8,42.88
1,81.65
3,115.32
6,231.01
1,451.09
2,883.47
5,1710.18
1,3154.78
2,5477.80
4,9089.00
8,11023.18
1,8454.56
3,11113.60
6,13213.37
1,14688.63
2,15302.56
5,14526.28
1,11916.74
2,9131.88
4,9141.36
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,5.38
2,10.60
4,22.00
8,42.00
1,84.05
3,116.27
6,233.46
1,452.89
2,874.61
5,1723.10
1,3086.37
2,5649.64
4,9320.54
8,11176.02
1,9040.90
3,12559.01
6,15974.83
1,17987.87
2,19247.50
5,17069.95
1,11450.68
2,9299.17
4,9265.99
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,5.34
2,10.73
4,21.22
8,41.94
1,82.45
3,112.90
6,226.87
1,440.24
2,853.64
5,1629.78
1,3079.00
2,5397.52
4,8876.21
8,10941.50
1,8755.82
3,12193.86
6,15144.08
1,17370.08
2,18516.33
5,16672.43
1,12470.28
2,9718.48
4,9371.26
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,5.27
2,10.81
4,21.84
8,40.16
1,79.63
3,113.14
6,227.50
1,440.27
2,855.85
5,1675.12
1,3047.74
2,5363.58
4,8944.99
8,10944.41
1,8745.24
3,12194.87
6,15142.38
1,17333.43
2,18724.05
5,16862.16
1,11875.44
2,9366.41
4,9167.82
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,5.30
2,10.27
4,19.87
8,40.24
1,78.70
3,113.13
6,227.32
1,442.86
2,853.51
5,1682.06
1,3081.94
2,5393.64
4,8911.49
8,11012.37
1,8872.14
3,12296.24
6,15049.11
1,17295.22
2,18729.71
5,17120.24
1,12229.74
2,9362.48
4,9160.63
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,5.20
2,10.75
4,21.24
8,40.18
1,78.80
3,112.95
6,228.84
1,452.52
2,846.25
5,1686.61
1,3101.88
2,5447.36
4,8971.25
8,11012.14
1,8875.31
3,12303.78
6,15582.79
1,17639.64
2,19173.29
5,17629.40
1,13060.02
2,9832.88
4,9430.27
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,5.25
2,10.50
4,21.07
8,42.92
1,80.35
3,113.84
6,228.66
1,445.33
2,857.79
5,1691.30
1,3080.62
2,5437.50
4,9142.37
8,11022.86
1,9039.94
3,12560.16
6,15537.58
1,16122.46
2,16073.17
5,14763.02
1,11910.93
2,9102.90
4,9523.35
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,5.38
2,10.74
4,20.82
8,42.67
1,83.44
3,112.59
6,224.88
1,430.14
2,832.31
5,1636.14
1,3091.73
2,5411.16
4,9039.16
8,11126.54
1,8972.85
3,12194.77
6,15212.88
1,17602.45
2,18681.04
5,17103.50
1,12381.57
2,9652.62
4,9386.77
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
1,4.93
2,9.97
4,20.01
8,42.22
1,78.36
3,112.87
6,224.38
1,435.21
2,844.23
5,1630.16
1,3034.47
2,5345.09
4,9048.20
8,11180.10
1,8981.65
3,12356.65
6,15412.92
1,17841.79
2,19139.05
5,17149.41
1,13115.48
2,9815.61
4,9413.40
