# /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-lat-charm.py 1 4194304 1000 500 0 charm_lat_intersocket +pemap L0,1 +no_isomalloc_sync
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,29.2892
1.0,20.0,1000.0,60.0,24.456675
1.0,40.0,1000.0,60.0,25.24815
1.0,60.0,1000.0,60.0,24.40325
1.0,80.0,1000.0,60.0,24.3685
1.0,100.0,1000.0,60.0,24.414625
1.0,120.0,1000.0,60.0,24.362575
1.0,140.0,1000.0,60.0,24.02125
1.0,160.0,1000.0,60.0,23.11085
1.0,180.0,1000.0,60.0,23.979125
1.0,200.0,1000.0,60.0,24.54115
1.0,220.0,1000.0,60.0,22.816475
1.0,240.0,1000.0,60.0,21.8103
1.0,260.0,1000.0,60.0,21.189325
1.0,280.0,1000.0,60.0,21.007075
1.0,300.0,1000.0,60.0,21.158825
1.0,320.0,1000.0,60.0,21.1284
1.0,340.0,1000.0,60.0,21.118
1.0,360.0,1000.0,60.0,22.0354
1.0,380.0,1000.0,60.0,22.385225
1.0,400.0,1000.0,60.0,21.477725
1.0,420.0,1000.0,60.0,21.098375
1.0,440.0,1000.0,60.0,21.279075
1.0,460.0,1000.0,60.0,21.2185
1.0,480.0,1000.0,60.0,21.23295
1.0,500.0,1000.0,60.0,21.22525
1.0,520.0,1000.0,60.0,21.029
1.0,540.0,1000.0,60.0,21.1094
1.0,560.0,1000.0,60.0,20.96345
1.0,580.0,1000.0,60.0,21.013975
1.0,600.0,1000.0,60.0,21.0883
1.0,620.0,1000.0,60.0,21.082975
1.0,640.0,1000.0,60.0,21.74525
1.0,660.0,1000.0,60.0,22.1732
1.0,680.0,1000.0,60.0,21.553975
1.0,700.0,1000.0,60.0,20.85955
1.0,720.0,1000.0,60.0,21.105775
1.0,740.0,1000.0,60.0,21.2062
1.0,760.0,1000.0,60.0,21.2348
1.0,780.0,1000.0,60.0,21.0726
1.0,800.0,1000.0,60.0,21.175
1.0,820.0,1000.0,60.0,21.117275
1.0,840.0,1000.0,60.0,22.753125
1.0,860.0,1000.0,60.0,23.157925
1.0,880.0,1000.0,60.0,22.3899
1.0,900.0,1000.0,60.0,22.322975
1.0,920.0,1000.0,60.0,22.38325
1.0,940.0,1000.0,60.0,22.399475
1.0,960.0,1000.0,60.0,22.329075
1.0,980.0,1000.0,60.0,22.279725
1.0,1000.0,1000.0,60.0,22.449775
1.0,1020.0,1000.0,60.0,22.337925
1.0,1040.0,1000.0,60.0,21.805175
2.0,0.0,1000.0,60.0,23.1917
2.0,20.0,1000.0,60.0,20.979375
2.0,40.0,1000.0,60.0,20.7231
2.0,60.0,1000.0,60.0,21.8816
2.0,80.0,1000.0,60.0,21.79805
2.0,100.0,1000.0,60.0,21.85095
2.0,120.0,1000.0,60.0,21.909775
2.0,140.0,1000.0,60.0,21.504475
2.0,160.0,1000.0,60.0,21.688875
2.0,180.0,1000.0,60.0,22.47315
2.0,200.0,1000.0,60.0,22.047425
2.0,220.0,1000.0,60.0,21.908725
2.0,240.0,1000.0,60.0,21.98185
2.0,260.0,1000.0,60.0,22.1247
2.0,280.0,1000.0,60.0,22.096925
2.0,300.0,1000.0,60.0,22.156675
2.0,320.0,1000.0,60.0,22.147325
2.0,340.0,1000.0,60.0,21.94645
2.0,360.0,1000.0,60.0,22.026125
2.0,380.0,1000.0,60.0,22.04975
2.0,400.0,1000.0,60.0,22.8164
2.0,420.0,1000.0,60.0,22.063625
2.0,440.0,1000.0,60.0,22.694275
2.0,460.0,1000.0,60.0,22.844725
2.0,480.0,1000.0,60.0,22.068
2.0,500.0,1000.0,60.0,21.992725
2.0,520.0,1000.0,60.0,22.020075
2.0,540.0,1000.0,60.0,21.868075
2.0,560.0,1000.0,60.0,22.05665
2.0,580.0,1000.0,60.0,22.2378
2.0,600.0,1000.0,60.0,21.9704
2.0,620.0,1000.0,60.0,21.9414
2.0,640.0,1000.0,60.0,21.98635
2.0,660.0,1000.0,60.0,22.02835
2.0,680.0,1000.0,60.0,21.9898
2.0,700.0,1000.0,60.0,21.7899
2.0,720.0,1000.0,60.0,22.02875
2.0,740.0,1000.0,60.0,22.0251
2.0,760.0,1000.0,60.0,22.03535
2.0,780.0,1000.0,60.0,22.0973
2.0,800.0,1000.0,60.0,22.041725
2.0,820.0,1000.0,60.0,22.03815
2.0,840.0,1000.0,60.0,22.230625
2.0,860.0,1000.0,60.0,20.9208
2.0,880.0,1000.0,60.0,20.711375
2.0,900.0,1000.0,60.0,22.161875
2.0,920.0,1000.0,60.0,21.85845
2.0,940.0,1000.0,60.0,20.852075
2.0,960.0,1000.0,60.0,20.874425
2.0,980.0,1000.0,60.0,20.84855
2.0,1000.0,1000.0,60.0,20.705275
2.0,1020.0,1000.0,60.0,20.857475
2.0,1040.0,1000.0,60.0,20.85715
4.0,0.0,1000.0,60.0,22.268425
4.0,20.0,1000.0,60.0,20.70885
4.0,40.0,1000.0,60.0,20.63515
4.0,60.0,1000.0,60.0,20.673375
4.0,80.0,1000.0,60.0,20.61175
4.0,100.0,1000.0,60.0,20.5543
4.0,120.0,1000.0,60.0,20.6414
4.0,140.0,1000.0,60.0,20.6554
4.0,160.0,1000.0,60.0,20.7732
4.0,180.0,1000.0,60.0,22.07535
4.0,200.0,1000.0,60.0,22.9175
4.0,220.0,1000.0,60.0,21.603175
4.0,240.0,1000.0,60.0,20.59035
4.0,260.0,1000.0,60.0,20.917325
4.0,280.0,1000.0,60.0,20.82955
4.0,300.0,1000.0,60.0,20.770625
4.0,320.0,1000.0,60.0,20.815775
4.0,340.0,1000.0,60.0,20.8334
4.0,360.0,1000.0,60.0,20.67405
4.0,380.0,1000.0,60.0,20.826825
4.0,400.0,1000.0,60.0,20.845425
4.0,420.0,1000.0,60.0,20.831175
4.0,440.0,1000.0,60.0,20.838225
4.0,460.0,1000.0,60.0,20.78855
4.0,480.0,1000.0,60.0,20.671525
4.0,500.0,1000.0,60.0,20.822125
4.0,520.0,1000.0,60.0,20.815475
4.0,540.0,1000.0,60.0,21.47235
4.0,560.0,1000.0,60.0,21.928375
4.0,580.0,1000.0,60.0,21.1129
4.0,600.0,1000.0,60.0,20.6045
4.0,620.0,1000.0,60.0,20.783025
4.0,640.0,1000.0,60.0,20.806725
4.0,660.0,1000.0,60.0,20.7852
4.0,680.0,1000.0,60.0,20.85875
4.0,700.0,1000.0,60.0,20.832975
4.0,720.0,1000.0,60.0,20.60935
4.0,740.0,1000.0,60.0,20.7837
4.0,760.0,1000.0,60.0,20.79765
4.0,780.0,1000.0,60.0,20.742825
4.0,800.0,1000.0,60.0,20.823375
