# /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-lat-charm.py 1 4194304 1000 500 0 charm_lat_intrasocket +pemap L0,2 +no_isomalloc_sync
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,15.9961
1.0,20.0,1000.0,60.0,11.912725
1.0,40.0,1000.0,60.0,11.793
1.0,60.0,1000.0,60.0,11.684525
1.0,80.0,1000.0,60.0,11.819375
1.0,100.0,1000.0,60.0,11.17515
1.0,120.0,1000.0,60.0,12.20935
1.0,140.0,1000.0,60.0,11.7294
1.0,160.0,1000.0,60.0,12.041875
1.0,180.0,1000.0,60.0,11.098775
1.0,200.0,1000.0,60.0,11.068725
1.0,220.0,1000.0,60.0,10.878325
1.0,240.0,1000.0,60.0,10.175575
1.0,260.0,1000.0,60.0,9.670525
1.0,280.0,1000.0,60.0,9.680625
1.0,300.0,1000.0,60.0,9.741425
1.0,320.0,1000.0,60.0,9.52575
1.0,340.0,1000.0,60.0,9.615425
1.0,360.0,1000.0,60.0,9.5684
1.0,380.0,1000.0,60.0,9.475675
1.0,400.0,1000.0,60.0,9.5254
1.0,420.0,1000.0,60.0,9.45685
1.0,440.0,1000.0,60.0,9.39735
1.0,460.0,1000.0,60.0,9.528275
1.0,480.0,1000.0,60.0,9.491475
1.0,500.0,1000.0,60.0,9.578275
1.0,520.0,1000.0,60.0,9.47465
1.0,540.0,1000.0,60.0,9.4591
1.0,560.0,1000.0,60.0,9.59565
1.0,580.0,1000.0,60.0,9.415475
1.0,600.0,1000.0,60.0,9.4126
1.0,620.0,1000.0,60.0,9.562025
1.0,640.0,1000.0,60.0,9.4151
1.0,660.0,1000.0,60.0,9.49925
1.0,680.0,1000.0,60.0,9.46815
1.0,700.0,1000.0,60.0,9.506675
1.0,720.0,1000.0,60.0,9.5373
1.0,740.0,1000.0,60.0,9.53265
1.0,760.0,1000.0,60.0,9.579575
1.0,780.0,1000.0,60.0,9.431725
1.0,800.0,1000.0,60.0,9.4375
1.0,820.0,1000.0,60.0,9.566825
1.0,840.0,1000.0,60.0,9.522225
1.0,860.0,1000.0,60.0,9.478375
1.0,880.0,1000.0,60.0,10.243
1.0,900.0,1000.0,60.0,9.9356
1.0,920.0,1000.0,60.0,10.084275
1.0,940.0,1000.0,60.0,9.979875
1.0,960.0,1000.0,60.0,9.480725
1.0,980.0,1000.0,60.0,9.6376
1.0,1000.0,1000.0,60.0,10.498675
1.0,1020.0,1000.0,60.0,10.4096
1.0,1040.0,1000.0,60.0,9.887725
2.0,0.0,1000.0,60.0,12.07635
2.0,20.0,1000.0,60.0,10.328425
2.0,40.0,1000.0,60.0,10.455475
2.0,60.0,1000.0,60.0,9.974725
2.0,80.0,1000.0,60.0,9.8533
2.0,100.0,1000.0,60.0,9.978275
2.0,120.0,1000.0,60.0,9.95085
2.0,140.0,1000.0,60.0,9.9748
2.0,160.0,1000.0,60.0,9.99605
2.0,180.0,1000.0,60.0,10.032
2.0,200.0,1000.0,60.0,10.100875
2.0,220.0,1000.0,60.0,9.759575
2.0,240.0,1000.0,60.0,10.002175
2.0,260.0,1000.0,60.0,9.901525
2.0,280.0,1000.0,60.0,9.3632
2.0,300.0,1000.0,60.0,9.506775
2.0,320.0,1000.0,60.0,9.38465
2.0,340.0,1000.0,60.0,9.402325
2.0,360.0,1000.0,60.0,10.376275
2.0,380.0,1000.0,60.0,9.88705
2.0,400.0,1000.0,60.0,9.972525
2.0,420.0,1000.0,60.0,9.683675
2.0,440.0,1000.0,60.0,9.351575
2.0,460.0,1000.0,60.0,10.113725
2.0,480.0,1000.0,60.0,9.776625
2.0,500.0,1000.0,60.0,9.805575
2.0,520.0,1000.0,60.0,9.914125
2.0,540.0,1000.0,60.0,9.359375
2.0,560.0,1000.0,60.0,9.46315
2.0,580.0,1000.0,60.0,9.276875
2.0,600.0,1000.0,60.0,9.37885
2.0,620.0,1000.0,60.0,9.29765
2.0,640.0,1000.0,60.0,9.308975
2.0,660.0,1000.0,60.0,10.082975
2.0,680.0,1000.0,60.0,9.9244
2.0,700.0,1000.0,60.0,9.986475
2.0,720.0,1000.0,60.0,10.044175
2.0,740.0,1000.0,60.0,9.830475
2.0,760.0,1000.0,60.0,10.095625
2.0,780.0,1000.0,60.0,9.877425
2.0,800.0,1000.0,60.0,9.807325
2.0,820.0,1000.0,60.0,9.889175
2.0,840.0,1000.0,60.0,10.126925
2.0,860.0,1000.0,60.0,9.972925
2.0,880.0,1000.0,60.0,9.83255
2.0,900.0,1000.0,60.0,9.8369
2.0,920.0,1000.0,60.0,9.95425
2.0,940.0,1000.0,60.0,9.974775
2.0,960.0,1000.0,60.0,9.990625
2.0,980.0,1000.0,60.0,9.912875
2.0,1000.0,1000.0,60.0,9.810425
2.0,1020.0,1000.0,60.0,10.00935
2.0,1040.0,1000.0,60.0,9.3159
4.0,0.0,1000.0,60.0,11.3955
4.0,20.0,1000.0,60.0,9.91105
4.0,40.0,1000.0,60.0,9.839975
4.0,60.0,1000.0,60.0,9.80745
4.0,80.0,1000.0,60.0,9.722425
4.0,100.0,1000.0,60.0,10.1055
4.0,120.0,1000.0,60.0,9.20695
4.0,140.0,1000.0,60.0,9.24225
4.0,160.0,1000.0,60.0,9.3308
4.0,180.0,1000.0,60.0,9.285775
4.0,200.0,1000.0,60.0,9.32505
4.0,220.0,1000.0,60.0,9.168625
