# /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-lat-mpi.py 1 4194304 1000 500 0 mpi_lat_intrasocket
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,3.596275
1.0,20.0,1000.0,60.0,1.11265
1.0,40.0,1000.0,60.0,1.11265
1.0,60.0,1000.0,60.0,0.0635
1.0,80.0,1000.0,60.0,1.121125
1.0,100.0,1000.0,60.0,1.18145
1.0,120.0,1000.0,60.0,1.098625
1.0,140.0,1000.0,60.0,1.111075
1.0,160.0,1000.0,60.0,1.18455
1.0,180.0,1000.0,60.0,1.100325
1.0,200.0,1000.0,60.0,1.107125
1.0,220.0,1000.0,60.0,1.2022
1.0,240.0,1000.0,60.0,1.1038
1.0,260.0,1000.0,60.0,1.106925
1.0,280.0,1000.0,60.0,1.31525
1.0,300.0,1000.0,60.0,1.09145
1.0,320.0,1000.0,60.0,1.098625
1.0,340.0,1000.0,60.0,1.112025
1.0,360.0,1000.0,60.0,1.14805
1.0,380.0,1000.0,60.0,1.0872
1.0,400.0,1000.0,60.0,1.09835
1.0,420.0,1000.0,60.0,1.156575
1.0,440.0,1000.0,60.0,1.088725
1.0,460.0,1000.0,60.0,1.0897
1.0,480.0,1000.0,60.0,1.170075
1.0,500.0,1000.0,60.0,1.079
1.0,520.0,1000.0,60.0,1.092625
1.0,540.0,1000.0,60.0,1.1657
1.0,560.0,1000.0,60.0,1.09015
1.0,580.0,1000.0,60.0,1.09245
1.0,600.0,1000.0,60.0,1.16735
1.0,620.0,1000.0,60.0,1.101725
1.0,640.0,1000.0,60.0,1.084725
1.0,660.0,1000.0,60.0,1.108075
1.0,680.0,1000.0,60.0,1.196375
1.0,700.0,1000.0,60.0,1.176725
1.0,720.0,1000.0,60.0,1.09715
1.0,740.0,1000.0,60.0,1.1777
1.0,760.0,1000.0,60.0,1.106375
1.0,780.0,1000.0,60.0,1.110675
1.0,800.0,1000.0,60.0,1.166875
1.0,820.0,1000.0,60.0,1.096925
1.0,840.0,1000.0,60.0,1.10005
1.0,860.0,1000.0,60.0,1.157525
1.0,880.0,1000.0,60.0,1.08435
1.0,900.0,1000.0,60.0,1.09755
1.0,920.0,1000.0,60.0,1.16155
1.0,940.0,1000.0,60.0,1.0885
1.0,960.0,1000.0,60.0,1.102275
1.0,980.0,1000.0,60.0,1.106925
1.0,1000.0,1000.0,60.0,1.08645
1.0,1020.0,1000.0,60.0,1.096825
1.0,1040.0,1000.0,60.0,1.0959
2.0,0.0,1000.0,60.0,1.119175
2.0,20.0,1000.0,60.0,1.093025
2.0,40.0,1000.0,60.0,1.08185
2.0,60.0,1000.0,60.0,0.05995
2.0,80.0,1000.0,60.0,1.089875
2.0,100.0,1000.0,60.0,1.0946
2.0,120.0,1000.0,60.0,1.08645
2.0,140.0,1000.0,60.0,1.087725
2.0,160.0,1000.0,60.0,1.08355
2.0,180.0,1000.0,60.0,1.0801
2.0,200.0,1000.0,60.0,1.08195
2.0,220.0,1000.0,60.0,1.085875
2.0,240.0,1000.0,60.0,1.0865
2.0,260.0,1000.0,60.0,1.08175
2.0,280.0,1000.0,60.0,1.09125
2.0,300.0,1000.0,60.0,1.079325
2.0,320.0,1000.0,60.0,1.083325
2.0,340.0,1000.0,60.0,1.086825
2.0,360.0,1000.0,60.0,1.0807
2.0,380.0,1000.0,60.0,1.074375
2.0,400.0,1000.0,60.0,1.094275
2.0,420.0,1000.0,60.0,1.083175
2.0,440.0,1000.0,60.0,1.07475
2.0,460.0,1000.0,60.0,1.083075
2.0,480.0,1000.0,60.0,1.08665
2.0,500.0,1000.0,60.0,1.180025
2.0,520.0,1000.0,60.0,1.084475
2.0,540.0,1000.0,60.0,1.0891
2.0,560.0,1000.0,60.0,1.08575
2.0,580.0,1000.0,60.0,1.0797
2.0,600.0,1000.0,60.0,1.0919
2.0,620.0,1000.0,60.0,1.080975
2.0,640.0,1000.0,60.0,1.083925
2.0,660.0,1000.0,60.0,1.092125
2.0,680.0,1000.0,60.0,1.082225
2.0,700.0,1000.0,60.0,1.0778
2.0,720.0,1000.0,60.0,1.092775
2.0,740.0,1000.0,60.0,1.0887
2.0,760.0,1000.0,60.0,1.086025
2.0,780.0,1000.0,60.0,1.0833
2.0,800.0,1000.0,60.0,1.089025
2.0,820.0,1000.0,60.0,1.074475
2.0,840.0,1000.0,60.0,1.085925
2.0,860.0,1000.0,60.0,1.0871
2.0,880.0,1000.0,60.0,1.08255
2.0,900.0,1000.0,60.0,1.08095
2.0,920.0,1000.0,60.0,1.086075
2.0,940.0,1000.0,60.0,1.177975
2.0,960.0,1000.0,60.0,1.0791
2.0,980.0,1000.0,60.0,1.08845
2.0,1000.0,1000.0,60.0,1.08575
2.0,1020.0,1000.0,60.0,1.0783
2.0,1040.0,1000.0,60.0,1.084725
4.0,0.0,1000.0,60.0,1.112725
4.0,20.0,1000.0,60.0,1.0877
4.0,40.0,1000.0,60.0,1.093825
4.0,60.0,1000.0,60.0,0.06055
4.0,80.0,1000.0,60.0,1.093425
4.0,100.0,1000.0,60.0,1.08935
4.0,120.0,1000.0,60.0,1.086975
4.0,140.0,1000.0,60.0,1.084675
4.0,160.0,1000.0,60.0,1.088625
4.0,180.0,1000.0,60.0,1.086225
4.0,200.0,1000.0,60.0,1.082275
4.0,220.0,1000.0,60.0,1.0904
4.0,240.0,1000.0,60.0,1.08985
4.0,260.0,1000.0,60.0,1.08785
4.0,280.0,1000.0,60.0,1.082225
4.0,300.0,1000.0,60.0,1.087075
4.0,320.0,1000.0,60.0,1.17065
4.0,340.0,1000.0,60.0,1.08575
4.0,360.0,1000.0,60.0,1.09345
4.0,380.0,1000.0,60.0,1.080175
4.0,400.0,1000.0,60.0,1.08805
4.0,420.0,1000.0,60.0,1.0905
4.0,440.0,1000.0,60.0,1.080625
4.0,460.0,1000.0,60.0,1.079175
4.0,480.0,1000.0,60.0,1.087
4.0,500.0,1000.0,60.0,1.085225
4.0,520.0,1000.0,60.0,1.080175
4.0,540.0,1000.0,60.0,1.09135
4.0,560.0,1000.0,60.0,1.075625
4.0,580.0,1000.0,60.0,1.082675
4.0,600.0,1000.0,60.0,1.089
4.0,620.0,1000.0,60.0,1.083525
4.0,640.0,1000.0,60.0,1.079425
4.0,660.0,1000.0,60.0,1.0831
4.0,680.0,1000.0,60.0,1.08855
4.0,700.0,1000.0,60.0,1.0758
4.0,720.0,1000.0,60.0,1.085225
4.0,740.0,1000.0,60.0,1.089725
4.0,760.0,1000.0,60.0,1.1394
4.0,780.0,1000.0,60.0,1.08435
4.0,800.0,1000.0,60.0,1.08785
4.0,820.0,1000.0,60.0,1.08135
4.0,840.0,1000.0,60.0,1.0815
4.0,860.0,1000.0,60.0,1.09465
4.0,880.0,1000.0,60.0,1.0851
4.0,900.0,1000.0,60.0,1.07885
4.0,920.0,1000.0,60.0,1.083625
4.0,940.0,1000.0,60.0,1.081975
4.0,960.0,1000.0,60.0,1.07825
4.0,980.0,1000.0,60.0,1.0803
4.0,1000.0,1000.0,60.0,1.089775
4.0,1020.0,1000.0,60.0,1.07535
4.0,1040.0,1000.0,60.0,1.085275
8.0,0.0,1000.0,60.0,1.107075
8.0,20.0,1000.0,60.0,1.077025
8.0,40.0,1000.0,60.0,1.08095
8.0,60.0,1000.0,60.0,0.05905
8.0,80.0,1000.0,60.0,1.0809
8.0,100.0,1000.0,60.0,1.08045
8.0,120.0,1000.0,60.0,1.1768
8.0,140.0,1000.0,60.0,1.0853
8.0,160.0,1000.0,60.0,1.08735
8.0,180.0,1000.0,60.0,1.087675
8.0,200.0,1000.0,60.0,1.0738
8.0,220.0,1000.0,60.0,1.084
8.0,240.0,1000.0,60.0,1.0785
8.0,260.0,1000.0,60.0,1.075775
8.0,280.0,1000.0,60.0,1.083925
8.0,300.0,1000.0,60.0,1.082175
8.0,320.0,1000.0,60.0,1.075775
8.0,340.0,1000.0,60.0,1.08355
8.0,360.0,1000.0,60.0,1.080375
8.0,380.0,1000.0,60.0,1.085825
8.0,400.0,1000.0,60.0,1.07875
8.0,420.0,1000.0,60.0,1.091775
8.0,440.0,1000.0,60.0,1.080375
8.0,460.0,1000.0,60.0,1.07895
8.0,480.0,1000.0,60.0,1.0795
8.0,500.0,1000.0,60.0,1.0841
8.0,520.0,1000.0,60.0,1.075975
8.0,540.0,1000.0,60.0,1.08265
8.0,560.0,1000.0,60.0,1.08515
8.0,580.0,1000.0,60.0,1.1725
8.0,600.0,1000.0,60.0,1.08415
8.0,620.0,1000.0,60.0,1.0931
8.0,640.0,1000.0,60.0,1.088275
8.0,660.0,1000.0,60.0,1.095075
8.0,680.0,1000.0,60.0,1.081475
8.0,700.0,1000.0,60.0,1.079175
8.0,720.0,1000.0,60.0,1.0866
8.0,740.0,1000.0,60.0,1.08555
8.0,760.0,1000.0,60.0,1.07935
8.0,780.0,1000.0,60.0,1.080375
8.0,800.0,1000.0,60.0,1.081875
8.0,820.0,1000.0,60.0,1.085625
8.0,840.0,1000.0,60.0,1.07985
8.0,860.0,1000.0,60.0,1.08005
8.0,880.0,1000.0,60.0,1.08395
8.0,900.0,1000.0,60.0,1.084325
8.0,920.0,1000.0,60.0,1.089975
8.0,940.0,1000.0,60.0,1.080525
8.0,960.0,1000.0,60.0,1.08625
8.0,980.0,1000.0,60.0,1.08615
8.0,1000.0,1000.0,60.0,1.0927
8.0,1020.0,1000.0,60.0,1.158475
8.0,1040.0,1000.0,60.0,1.08205
16.0,0.0,1000.0,60.0,1.155525
16.0,20.0,1000.0,60.0,1.0927
16.0,40.0,1000.0,60.0,1.0941
16.0,60.0,1000.0,60.0,0.05885
16.0,80.0,1000.0,60.0,1.1946
16.0,100.0,1000.0,60.0,1.10765
16.0,120.0,1000.0,60.0,1.104225
16.0,140.0,1000.0,60.0,1.101125
16.0,160.0,1000.0,60.0,1.106225
16.0,180.0,1000.0,60.0,1.112225
16.0,200.0,1000.0,60.0,1.104225
16.0,220.0,1000.0,60.0,1.1074
16.0,240.0,1000.0,60.0,1.110875
16.0,260.0,1000.0,60.0,1.106475
16.0,280.0,1000.0,60.0,1.10865
16.0,300.0,1000.0,60.0,1.1145
16.0,320.0,1000.0,60.0,1.11125
16.0,340.0,1000.0,60.0,1.100525
16.0,360.0,1000.0,60.0,1.1163
16.0,380.0,1000.0,60.0,1.190525
16.0,400.0,1000.0,60.0,1.10585
16.0,420.0,1000.0,60.0,1.11145
16.0,440.0,1000.0,60.0,1.53765
16.0,460.0,1000.0,60.0,1.117825
16.0,480.0,1000.0,60.0,1.13735
16.0,500.0,1000.0,60.0,1.134825
16.0,520.0,1000.0,60.0,1.12155
16.0,540.0,1000.0,60.0,1.12735
16.0,560.0,1000.0,60.0,1.133975
16.0,580.0,1000.0,60.0,1.122075
16.0,600.0,1000.0,60.0,1.1261
