# /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-lat-mpi.py 1 4194304 1000 500 0 mpi_lat_intersocket
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,205.936425
1.0,20.0,1000.0,60.0,1.364325
1.0,40.0,1000.0,60.0,1.35515
1.0,60.0,1000.0,60.0,0.10705
1.0,80.0,1000.0,60.0,1.406925
1.0,100.0,1000.0,60.0,1.4949
1.0,120.0,1000.0,60.0,1.429925
1.0,140.0,1000.0,60.0,1.380075
1.0,160.0,1000.0,60.0,1.446925
1.0,180.0,1000.0,60.0,1.38365
1.0,200.0,1000.0,60.0,1.428325
1.0,220.0,1000.0,60.0,1.492825
1.0,240.0,1000.0,60.0,1.4181
1.0,260.0,1000.0,60.0,1.470175
1.0,280.0,1000.0,60.0,1.42075
1.0,300.0,1000.0,60.0,1.342475
1.0,320.0,1000.0,60.0,1.3865
1.0,340.0,1000.0,60.0,1.34415
1.0,360.0,1000.0,60.0,1.43745
1.0,380.0,1000.0,60.0,1.373375
1.0,400.0,1000.0,60.0,1.344725
1.0,420.0,1000.0,60.0,1.395425
1.0,440.0,1000.0,60.0,1.39945
1.0,460.0,1000.0,60.0,1.35095
1.0,480.0,1000.0,60.0,1.411225
1.0,500.0,1000.0,60.0,1.339225
1.0,520.0,1000.0,60.0,1.3468
1.0,540.0,1000.0,60.0,1.381225
1.0,560.0,1000.0,60.0,1.373625
1.0,580.0,1000.0,60.0,1.31785
1.0,600.0,1000.0,60.0,1.3706
1.0,620.0,1000.0,60.0,1.460325
1.0,640.0,1000.0,60.0,1.41055
1.0,660.0,1000.0,60.0,1.36535
1.0,680.0,1000.0,60.0,1.410775
1.0,700.0,1000.0,60.0,1.3357
1.0,720.0,1000.0,60.0,1.341675
1.0,740.0,1000.0,60.0,1.4126
1.0,760.0,1000.0,60.0,1.37205
1.0,780.0,1000.0,60.0,1.373
1.0,800.0,1000.0,60.0,1.403525
1.0,820.0,1000.0,60.0,1.370475
1.0,840.0,1000.0,60.0,1.353725
1.0,860.0,1000.0,60.0,1.407725
1.0,880.0,1000.0,60.0,1.375525
1.0,900.0,1000.0,60.0,1.355125
1.0,920.0,1000.0,60.0,1.446175
1.0,940.0,1000.0,60.0,1.349925
1.0,960.0,1000.0,60.0,1.34065
1.0,980.0,1000.0,60.0,1.4593
1.0,1000.0,1000.0,60.0,1.3649
1.0,1020.0,1000.0,60.0,1.338075
1.0,1040.0,1000.0,60.0,1.7703
2.0,0.0,1000.0,60.0,1.789675
2.0,20.0,1000.0,60.0,1.337625
2.0,40.0,1000.0,60.0,1.402225
2.0,60.0,1000.0,60.0,0.093525
2.0,80.0,1000.0,60.0,1.36155
2.0,100.0,1000.0,60.0,1.345025
2.0,120.0,1000.0,60.0,1.351875
2.0,140.0,1000.0,60.0,1.403975
2.0,160.0,1000.0,60.0,1.431125
2.0,180.0,1000.0,60.0,1.363325
2.0,200.0,1000.0,60.0,1.378775
2.0,220.0,1000.0,60.0,1.481375
2.0,240.0,1000.0,60.0,1.357225
2.0,260.0,1000.0,60.0,1.394575
2.0,280.0,1000.0,60.0,1.40665
2.0,300.0,1000.0,60.0,1.365925
2.0,320.0,1000.0,60.0,1.405
2.0,340.0,1000.0,60.0,1.317875
2.0,360.0,1000.0,60.0,1.316225
2.0,380.0,1000.0,60.0,1.4067
2.0,400.0,1000.0,60.0,1.36065
2.0,420.0,1000.0,60.0,1.65025
2.0,440.0,1000.0,60.0,1.320675
2.0,460.0,1000.0,60.0,1.3326
2.0,480.0,1000.0,60.0,1.336375
2.0,500.0,1000.0,60.0,1.3513
2.0,520.0,1000.0,60.0,1.3352
2.0,540.0,1000.0,60.0,1.29015
2.0,560.0,1000.0,60.0,1.3158
2.0,580.0,1000.0,60.0,1.436975
2.0,600.0,1000.0,60.0,1.3277
2.0,620.0,1000.0,60.0,1.320175
2.0,640.0,1000.0,60.0,1.3464
2.0,660.0,1000.0,60.0,1.325975
2.0,680.0,1000.0,60.0,1.31255
2.0,700.0,1000.0,60.0,1.3561
2.0,720.0,1000.0,60.0,1.336575
2.0,740.0,1000.0,60.0,1.28685
2.0,760.0,1000.0,60.0,1.3678
2.0,780.0,1000.0,60.0,1.342675
2.0,800.0,1000.0,60.0,1.335675
2.0,820.0,1000.0,60.0,1.332325
2.0,840.0,1000.0,60.0,1.325575
2.0,860.0,1000.0,60.0,1.351175
2.0,880.0,1000.0,60.0,1.325425
2.0,900.0,1000.0,60.0,1.372175
2.0,920.0,1000.0,60.0,1.310525
2.0,940.0,1000.0,60.0,1.2799
2.0,960.0,1000.0,60.0,1.4221
2.0,980.0,1000.0,60.0,1.3179
2.0,1000.0,1000.0,60.0,1.297625
2.0,1020.0,1000.0,60.0,1.349275
2.0,1040.0,1000.0,60.0,1.357825
4.0,0.0,1000.0,60.0,1.847775
4.0,20.0,1000.0,60.0,1.425875
4.0,40.0,1000.0,60.0,1.407925
4.0,60.0,1000.0,60.0,0.0944
4.0,80.0,1000.0,60.0,1.403525
4.0,100.0,1000.0,60.0,1.3898
4.0,120.0,1000.0,60.0,1.34095
4.0,140.0,1000.0,60.0,1.357025
4.0,160.0,1000.0,60.0,1.3462
4.0,180.0,1000.0,60.0,1.342075
4.0,200.0,1000.0,60.0,1.36035
4.0,220.0,1000.0,60.0,1.455275
4.0,240.0,1000.0,60.0,1.34725
4.0,260.0,1000.0,60.0,1.384575
4.0,280.0,1000.0,60.0,1.353275
4.0,300.0,1000.0,60.0,1.356025
4.0,320.0,1000.0,60.0,1.3726
4.0,340.0,1000.0,60.0,1.362925
4.0,360.0,1000.0,60.0,1.354525
4.0,380.0,1000.0,60.0,1.3535
4.0,400.0,1000.0,60.0,1.39095
4.0,420.0,1000.0,60.0,1.67975
4.0,440.0,1000.0,60.0,1.33655
4.0,460.0,1000.0,60.0,1.3601
4.0,480.0,1000.0,60.0,1.33825
4.0,500.0,1000.0,60.0,1.318675
4.0,520.0,1000.0,60.0,1.386175
4.0,540.0,1000.0,60.0,1.3274
4.0,560.0,1000.0,60.0,1.311625
4.0,580.0,1000.0,60.0,1.46315
4.0,600.0,1000.0,60.0,1.3495
4.0,620.0,1000.0,60.0,1.32605
4.0,640.0,1000.0,60.0,1.3762
4.0,660.0,1000.0,60.0,1.333925
4.0,680.0,1000.0,60.0,1.335275
4.0,700.0,1000.0,60.0,1.34515
4.0,720.0,1000.0,60.0,1.354975
4.0,740.0,1000.0,60.0,1.33555
4.0,760.0,1000.0,60.0,1.31755
4.0,780.0,1000.0,60.0,1.376625
4.0,800.0,1000.0,60.0,1.378025
4.0,820.0,1000.0,60.0,1.32955
4.0,840.0,1000.0,60.0,1.373925
4.0,860.0,1000.0,60.0,1.3168
4.0,880.0,1000.0,60.0,1.306475
4.0,900.0,1000.0,60.0,1.37085
