# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intersocket
[c476-101.stampede2.tacc.utexas.edu:190788] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:190788] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.0122614450233485
0,2,1000,2.061725468422823
0,4,1000,4.131810430288313
0,8,1000,8.13627412621003
0,16,1000,16.157150584388184
0,32,1000,23.372818440994866
0,64,1000,48.121154778033294
0,128,1000,96.78712636347808
0,256,1000,190.24957907418647
0,512,1000,376.9045127681963
0,1024,1000,680.3125291621552
0,2048,1000,1245.7514073956236
0,4096,1000,2054.3798587440187
0,8192,1000,2784.161038940834
0,16384,100,5708.610601652947
0,32768,100,8820.336544106025
0,65536,100,12059.707896612272
0,131072,100,14533.125256360694
0,262144,100,16290.421044155797
0,524288,100,15245.265549726988
0,1048576,100,11685.253262211787
0,2097152,100,9925.33359797842
0,4194304,100,10044.971006124922
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intersocket
[c476-101.stampede2.tacc.utexas.edu:191185] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:191185] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,0.9857634241573782
0,2,1000,2.0016991192325735
0,4,1000,3.984297546730696
0,8,1000,7.965881002023189
0,16,1000,15.790599870947858
0,32,1000,23.075963079689032
0,64,1000,46.9947070297707
0,128,1000,94.15323401172755
0,256,1000,186.1153852024684
0,512,1000,372.7828595528306
0,1024,1000,715.543074628092
0,2048,1000,1271.0706442885962
0,4096,1000,2082.2662437856934
0,8192,1000,2709.148434432159
0,16384,100,5685.459809479888
0,32768,100,8846.196357939369
0,65536,100,12060.148071751233
0,131072,100,14308.626050005041
