# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:190832] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:190832] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.0436292394457558
0,2,1000,2.143990718620962
0,4,1000,4.231787697501543
0,8,1000,8.493401247607583
0,16,1000,16.90994003864807
0,32,1000,31.34131775795107
0,64,1000,61.17314597816829
0,128,1000,124.20023150486291
0,256,1000,247.45087007790795
0,512,1000,487.75710708241644
0,1024,1000,943.6279221127924
0,2048,1000,1797.236078378361
0,4096,1000,3347.3518387824365
0,8192,1000,5385.142654887813
0,16384,100,5629.319958906431
0,32768,100,8584.752511778961
0,65536,100,11795.488556234008
0,131072,100,14297.059976706469
0,262144,100,15364.413199721092
0,524288,100,14548.506203535506
0,1048576,100,12401.682241605891
0,2097152,100,9726.884535429392
0,4194304,100,9791.134703834487
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:191534] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:191534] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.038562373535706
0,2,1000,2.1609156294381338
0,4,1000,4.279976411121521
0,8,1000,8.596091811387776
0,16,1000,16.732432437085045
0,32,1000,31.303496337963836
0,64,1000,60.850556585825665
0,128,1000,124.22091807308956
0,256,1000,248.72955912580684
0,512,1000,490.056270757349
0,1024,1000,952.1818407991748
0,2048,1000,1852.272832303341
0,4096,1000,3378.9998650639523
0,8192,1000,5438.691841630304
0,16384,100,5786.820320795276
0,32768,100,9046.525223610042
0,65536,100,12240.800304684122
0,131072,100,14254.086865431991
0,262144,100,15996.666641106058
0,524288,100,14630.307685344844
0,1048576,100,12422.500885827143
0,2097152,100,9882.920246974816
0,4194304,100,10003.873105734077
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:191927] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:191927] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.014557006904119
0,2,1000,2.0478265222641965
0,4,1000,4.210632923913768
0,8,1000,8.474176545928565
0,16,1000,16.91126310012643
0,32,1000,31.78822953940947
0,64,1000,59.896999646981875
0,128,1000,121.92127464943916
0,256,1000,242.47325792230126
0,512,1000,481.3205654065857
0,1024,1000,921.5967429514599
0,2048,1000,1836.9817143745015
0,4096,1000,3340.5962260161373
0,8192,1000,5297.957337500351
0,16384,100,5777.154059674193
0,32768,100,8841.755161520276
0,65536,100,11987.766566177224
0,131072,100,14108.271776570065
0,262144,100,15200.205934424335
0,524288,100,14763.961800509303
0,1048576,100,12383.486195571642
0,2097152,100,9983.095342293549
0,4194304,100,10122.469629376466
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:193103] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:193103] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.0477859876555173
0,2,1000,2.0633653990924965
0,4,1000,4.318072831431776
0,8,1000,8.528714943093789
0,16,1000,17.182514485800446
0,32,1000,31.13887166202331
0,64,1000,62.37077238242897
0,128,1000,123.78354014659104
0,256,1000,251.8546351480815
0,512,1000,486.7302540633675
0,1024,1000,955.6016219479903
0,2048,1000,1815.8652237440706
0,4096,1000,3316.3153338994152
0,8192,1000,5440.371282987051
0,16384,100,5660.533124039007
0,32768,100,8686.695962897442
0,65536,100,11731.15916154478
0,131072,100,13909.668430677406
0,262144,100,15234.247384431274
0,524288,100,14499.89135341682
0,1048576,100,12068.458628981365
0,2097152,100,10094.80700415748
0,4194304,100,10084.931652842659
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
