# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c476-101.stampede2.tacc.utexas.edu:190327] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:190327] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       3.65
2                       8.06
4                      14.69
8                      32.16
16                     62.77
32                     61.04
64                    121.73
128                   238.62
256                   463.15
512                   803.84
1024                 1126.82
2048                 2116.39
4096                 3250.96
8192                 3469.76
16384                8208.44
32768               11983.86
65536               14615.91
131072              16436.59
262144              17521.18
524288              16653.82
1048576             11499.11
2097152              9442.54
4194304              9314.33
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c476-101.stampede2.tacc.utexas.edu:191142] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:191142] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       3.65
2                       7.53
4                      15.40
8                      30.92
16                     61.76
32                     60.83
64                    121.93
128                   240.83
256                   463.69
512                   820.77
1024                 1161.38
2048                 2170.39
4096                 3328.52
8192                 3589.08
16384                8816.54
32768               12278.49
65536               15958.00
131072              18485.77
262144              19844.88
524288              15719.39
1048576             11988.79
2097152              9745.98
4194304              9466.48
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c476-101.stampede2.tacc.utexas.edu:191973] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:191973] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       3.97
2                       8.14
4                      16.03
8                      32.18
16                     65.23
32                     60.26
64                    120.41
128                   238.36
256                   461.52
512                   862.35
1024                 1197.49
2048                 2163.06
4096                 3291.91
8192                 3536.19
16384                8971.79
32768               12490.26
65536               15864.54
131072              18441.69
262144              19913.69
524288              15886.34
1048576             12823.01
2097152              9770.85
4194304              9462.87
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c476-101.stampede2.tacc.utexas.edu:192490] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:192490] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       3.55
2                       7.22
4                      14.38
8                      32.48
16                     58.60
32                     60.68
64                    121.75
128                   239.93
256                   462.44
512                   854.60
1024                 1192.70
2048                 2151.98
4096                 3317.46
8192                 3495.89
16384                8314.05
32768               10920.76
65536               13433.10
131072              15096.50
262144              14505.52
524288              15290.18
1048576             12022.80
2097152              9145.92
4194304              9165.12
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c476-101.stampede2.tacc.utexas.edu:193771] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:193771] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       3.80
2                       7.71
4                      15.52
8                      31.86
16                     60.68
32                     60.74
64                    121.13
128                   239.83
256                   464.01
512                   853.63
1024                 1149.65
2048                 2190.46
4096                 3406.59
8192                 3515.98
16384                9058.56
32768               12503.98
65536               15988.19
131072              18485.23
262144              19920.99
524288              16084.12
1048576             12531.80
2097152              9708.83
4194304              9546.74
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c476-101.stampede2.tacc.utexas.edu:194414] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:194414] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       3.60
2                       7.53
4                      13.51
8                      31.81
16                     60.62
32                     60.58
64                    121.29
128                   238.76
256                   459.22
512                   842.07
1024                 1129.03
2048                 2159.90
4096                 3313.91
8192                 3609.15
16384                8906.52
32768               12600.38
65536               16001.53
131072              18535.08
262144              19614.04
524288              17554.53
1048576             11946.96
2097152              9352.82
4194304              9080.16
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c476-101.stampede2.tacc.utexas.edu:194965] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:194965] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       3.47
2                       7.75
4                      14.98
8                      31.00
16                     58.76
32                     60.94
64                    121.79
128                   240.55
256                   464.23
512                   806.47
1024                 1185.93
2048                 2157.95
4096                 3317.09
8192                 3489.37
16384                9058.49
32768               12440.70
65536               16042.47
131072              18508.91
262144              19666.33
524288              17109.44
1048576             11757.41
2097152              9342.22
4194304              9496.12
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c476-101.stampede2.tacc.utexas.edu:195394] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:195394] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       3.46
2                       7.18
4                      13.27
8                      26.85
16                     59.00
32                     60.81
64                    121.05
128                   237.93
256                   460.22
512                   844.08
1024                 1134.17
2048                 2154.32
4096                 3273.80
8192                 3486.38
16384                8642.75
32768               12495.56
65536               15789.92
131072              18296.67
262144              19152.22
524288              17386.89
1048576             11953.12
2097152              9533.87
4194304              9301.07
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c476-101.stampede2.tacc.utexas.edu:196037] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:196037] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       3.83
2                       7.81
4                      15.83
8                      31.08
16                     63.42
32                     60.63
