Process,Msg Size, Iterations, Bandwidth (MB/s)
# /bin/srun --ntasks=2 python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-charm.py 1 4194304 64 1000 100 charm_bw_internode +pemap L0 +no_isomalloc_sync
0,1,1000,0.12065726321081992
0,2,1000,0.24424086872418585
0,4,1000,0.4893276867725826
0,8,1000,0.9814537286495859
0,16,1000,1.943206755302067
0,32,1000,3.9086287642465303
0,64,1000,7.695036073440214
0,128,1000,15.519010331151394
0,256,1000,30.725491255825855
0,512,1000,61.03749926519844
0,1024,1000,118.59546343520996
0,2048,1000,235.29635187432237
0,4096,1000,458.42033297860337
0,8192,1000,848.7506770765095
0,16384,100,1494.4242360067367
0,32768,100,2489.294324118007
0,65536,100,2345.788326916755
0,131072,100,1480.5974656968167
0,262144,100,1271.294797194983
0,524288,100,1359.8591884265259
0,1048576,100,1157.0760574670676
0,2097152,100,1027.6317464749957
0,4194304,100,1334.814197255406
# /bin/srun --ntasks=2 python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-charm.py 1 4194304 64 1000 100 charm_bw_internode +pemap L0 +no_isomalloc_sync
0,1,1000,0.12196845597670894
0,2,1000,0.24578024522231146
0,4,1000,0.4898487691680764
0,8,1000,0.9889529002018363
0,16,1000,1.9614886720883176
0,32,1000,3.937199907705419
0,64,1000,7.883175851510213
0,128,1000,15.534390946802462
0,256,1000,31.047981745306988
0,512,1000,61.330126292099436
0,1024,1000,117.7220733594018
0,2048,1000,234.16541800117963
0,4096,1000,462.38396249583207
0,8192,1000,855.7032660405189
0,16384,100,1495.7695542261265
0,32768,100,2452.9991186776365
0,65536,100,2349.9727205539257
0,131072,100,1429.5739602511796
0,262144,100,1230.9986896230234
0,524288,100,1332.665880029119
0,1048576,100,1035.0395784703512
0,2097152,100,1117.419398108988
0,4194304,100,1244.0157991457313
# /bin/srun --ntasks=2 python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-charm.py 1 4194304 64 1000 100 charm_bw_internode +pemap L0 +no_isomalloc_sync
0,1,1000,0.11826892547577661
0,2,1000,0.23187001947959185
0,4,1000,0.46634978529321774
0,8,1000,0.949494956733367
0,16,1000,1.891289277415898
0,32,1000,3.80530560925775
