Msg Size, Bandwidth (MB/s)
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0 +no_isomalloc_sync
1,0.965
2,1.958
4,3.908
8,7.812
16,15.598
32,31.316
64,63.611
128,128.286
256,256.201
512,502.749
1024,943.885
2048,1727.177
4096,2872.142
8192,4017.806
16384,4817.876
32768,6285.868
65536,3495.445
131072,1664.643
262144,1263.600
524288,1023.652
1048576,919.032
2097152,946.974
4194304,1271.879
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0 +no_isomalloc_sync
1,0.989
2,1.969
4,3.939
8,7.891
16,15.778
32,31.637
64,62.943
128,126.912
256,247.743
512,487.904
1024,918.319
2048,1689.367
4096,2822.940
8192,3976.931
16384,4859.577
32768,6084.151
65536,3492.673
131072,1629.693
262144,1205.962
524288,1044.615
1048576,915.136
2097152,931.452
4194304,1280.152
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0 +no_isomalloc_sync
1,1.007
2,2.016
4,4.041
8,8.110
16,16.175
32,32.488
64,64.702
128,129.918
256,250.891
512,500.494
1024,942.210
2048,1700.295
4096,2884.831
8192,4015.876
16384,4677.378
32768,6335.135
65536,3523.539
131072,1641.180
262144,1210.677
524288,1037.259
1048576,905.833
2097152,927.060
4194304,1262.233
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0 +no_isomalloc_sync
1,0.996
2,2.005
4,3.994
8,8.032
16,15.983
32,32.026
64,64.346
128,128.551
256,248.601
512,489.258
1024,933.653
2048,1702.047
4096,2859.594
8192,3979.413
16384,4746.540
32768,6060.317
65536,3496.199
131072,1647.560
262144,1235.339
524288,1031.684
1048576,915.617
2097152,923.385
4194304,1228.104
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0 +no_isomalloc_sync
1,0.990
2,2.042
4,4.093
8,8.174
16,16.387
32,32.759
64,65.023
128,130.644
256,256.150
512,503.225
1024,953.413
2048,1727.676
4096,2899.791
8192,4014.346
16384,4769.020
32768,6192.473
65536,3538.535
131072,1581.614
262144,1207.996
524288,1003.095
1048576,893.244
2097152,858.911
4194304,1171.089
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0 +no_isomalloc_sync
1,1.023
2,2.046
4,4.094
8,8.089
16,16.417
32,32.949
64,65.634
128,131.755
256,256.544
512,506.583
1024,954.547
2048,1733.828
4096,2884.665
8192,3978.326
16384,4781.288
32768,6440.241
65536,3484.103
131072,1644.435
262144,1208.882
524288,1032.588
1048576,908.062
2097152,950.788
4194304,1255.925
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0 +no_isomalloc_sync
1,1.004
2,2.035
4,4.086
8,8.169
16,16.352
32,32.718
64,64.837
128,130.819
256,254.028
512,503.114
1024,938.180
2048,1711.456
4096,2846.163
8192,3965.486
16384,4972.848
32768,6331.646
65536,3528.484
131072,1593.182
262144,1221.155
524288,983.715
1048576,878.575
2097152,870.595
4194304,1228.020
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0 +no_isomalloc_sync
1,1.022
2,2.047
4,4.121
8,8.169
16,16.450
32,32.936
64,65.232
128,131.611
256,256.156
512,504.889
1024,952.662
2048,1720.259
4096,2894.331
8192,4012.494
16384,4835.409
32768,6347.487
65536,3508.499
131072,1647.353
262144,1217.061
524288,1051.610
1048576,916.229
2097152,933.964
4194304,1251.787
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0 +no_isomalloc_sync
1,0.968
2,1.953
4,4.047
8,7.875
16,15.970
32,31.924
64,64.075
128,128.415
256,249.999
512,485.373
1024,930.065
2048,1677.754
4096,2810.255
8192,3888.823
16384,4790.248
32768,6003.509
65536,3471.713
131072,1632.562
262144,1213.635
524288,1025.551
1048576,928.443
2097152,945.433
4194304,1264.609
# /bin/srun --ntasks=2 /home1/08302/tg876011/charm_bw/bandwidth +pemap L0 +no_isomalloc_sync
1,1.003
2,2.026
4,4.036
8,8.060
16,16.237
32,32.455
64,64.680
128,129.161
256,244.639
512,486.506
1024,916.974
2048,1699.634
4096,2832.327
8192,3931.372
16384,4868.782
32768,6262.140
65536,3483.617
131072,1644.109
262144,1205.761
524288,1044.374
1048576,930.233
2097152,954.180
4194304,1267.515
