# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c499-073.stampede2.tacc.utexas.edu:334917] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c499-111.stampede2.tacc.utexas.edu:64818] MCW rank 1 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       4.39
2                       8.78
4                      17.58
8                      35.74
16                     64.97
32                    130.23
64                    255.73
128                   501.88
256                   975.72
512                  1802.81
1024                 3175.84
2048                 5063.85
4096                 7146.96
8192                 8344.49
16384                8206.21
32768               10980.91
65536               11890.64
131072              12150.62
262144              12277.94
524288              12292.11
1048576             12357.34
2097152             12372.89
4194304             12371.91
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c499-073.stampede2.tacc.utexas.edu:335382] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c499-111.stampede2.tacc.utexas.edu:65197] MCW rank 1 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       4.43
2                       9.00
4                      17.91
8                      36.09
16                     65.36
32                    129.91
64                    256.91
128                   513.06
256                   973.83
512                  1827.22
1024                 3206.92
2048                 5099.11
4096                 7133.31
8192                 8369.42
16384                8307.56
32768               11107.39
65536               11861.53
131072              12129.87
262144              12254.03
524288              12307.90
1048576             12359.57
2097152             12372.48
4194304             12376.03
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c499-073.stampede2.tacc.utexas.edu:335421] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c499-111.stampede2.tacc.utexas.edu:65240] MCW rank 1 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       4.51
2                       9.01
4                      17.97
8                      36.46
16                     65.25
32                    130.49
64                    263.77
128                   515.67
256                   972.09
512                  1826.63
1024                 3202.05
2048                 5097.51
4096                 7150.39
8192                 8387.04
16384                8382.69
32768               11127.93
65536               11870.73
131072              12112.66
262144              12257.85
524288              12293.58
1048576             12361.10
2097152             12371.70
4194304             12367.99
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c499-073.stampede2.tacc.utexas.edu:335831] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c499-111.stampede2.tacc.utexas.edu:65606] MCW rank 1 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       4.45
2                       9.01
4                      17.94
8                      35.43
16                     64.19
32                    130.75
64                    263.19
128                   520.06
256                   979.56
512                  1822.29
1024                 3165.82
2048                 5099.44
4096                 7139.02
8192                 8367.36
16384                8424.20
32768               11470.99
65536               11850.68
131072              12138.03
262144              12228.20
524288              12297.02
1048576             12354.90
2097152             12373.77
4194304             12366.58
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c499-073.stampede2.tacc.utexas.edu:336010] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c499-111.stampede2.tacc.utexas.edu:65767] MCW rank 1 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       4.34
2                       8.66
4                      17.89
8                      35.78
16                     64.24
32                    129.24
64                    256.05
128                   509.07
256                   960.75
512                  1795.58
1024                 3156.80
2048                 5019.68
4096                 7101.83
8192                 8339.47
16384                8357.10
32768               11294.24
65536               11873.08
