# osu-lat-charm.py 1 4194304 1000 1000 0 charm_lat_intrasocket
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,13.2147
1.0,20.0,1000.0,60.0,10.786125
1.0,40.0,1000.0,60.0,10.218525
1.0,60.0,1000.0,60.0,9.019025
1.0,80.0,1000.0,60.0,9.08465
1.0,100.0,1000.0,60.0,8.807125
1.0,120.0,1000.0,60.0,8.9822
1.0,140.0,1000.0,60.0,9.317575
1.0,160.0,1000.0,60.0,8.786075
1.0,180.0,1000.0,60.0,8.783075
1.0,200.0,1000.0,60.0,8.92035
1.0,220.0,1000.0,60.0,8.80235
1.0,240.0,1000.0,60.0,8.992225
1.0,260.0,1000.0,60.0,9.073625
1.0,280.0,1000.0,60.0,8.8472
1.0,300.0,1000.0,60.0,8.98195
1.0,320.0,1000.0,60.0,8.87725
1.0,340.0,1000.0,60.0,8.834175
1.0,360.0,1000.0,60.0,9.03705
1.0,380.0,1000.0,60.0,8.87625
1.0,400.0,1000.0,60.0,8.864475
1.0,420.0,1000.0,60.0,9.021025
1.0,440.0,1000.0,60.0,8.8745
1.0,460.0,1000.0,60.0,8.8482
1.0,480.0,1000.0,60.0,9.01075
1.0,500.0,1000.0,60.0,8.9286
1.0,520.0,1000.0,60.0,9.023775
1.0,540.0,1000.0,60.0,8.889775
1.0,560.0,1000.0,60.0,8.840925
1.0,580.0,1000.0,60.0,9.0343
1.0,600.0,1000.0,60.0,8.82115
1.0,620.0,1000.0,60.0,8.836675
1.0,640.0,1000.0,60.0,8.985225
1.0,660.0,1000.0,60.0,8.82815
1.0,680.0,1000.0,60.0,8.834925
1.0,700.0,1000.0,60.0,9.0571
1.0,720.0,1000.0,60.0,8.8309
1.0,740.0,1000.0,60.0,8.97595
1.0,760.0,1000.0,60.0,9.08515
1.0,780.0,1000.0,60.0,8.8557
1.0,800.0,1000.0,60.0,9.00725
1.0,820.0,1000.0,60.0,8.834675
1.0,840.0,1000.0,60.0,8.87075
1.0,860.0,1000.0,60.0,9.038825
1.0,880.0,1000.0,60.0,8.835425
1.0,900.0,1000.0,60.0,8.88325
1.0,920.0,1000.0,60.0,9.1102
1.0,940.0,1000.0,60.0,8.84745
1.0,960.0,1000.0,60.0,8.863725
1.0,980.0,1000.0,60.0,9.059575
1.0,1000.0,1000.0,60.0,9.135
1.0,1020.0,1000.0,60.0,9.387225
1.0,1040.0,1000.0,60.0,8.80285
2.0,0.0,1000.0,60.0,9.582325
2.0,20.0,1000.0,60.0,9.1415
2.0,40.0,1000.0,60.0,8.7177
2.0,60.0,1000.0,60.0,8.754525
2.0,80.0,1000.0,60.0,8.90305
2.0,100.0,1000.0,60.0,8.678625
2.0,120.0,1000.0,60.0,8.809625
2.0,140.0,1000.0,60.0,8.84845
2.0,160.0,1000.0,60.0,8.68915
2.0,180.0,1000.0,60.0,8.890525
2.0,200.0,1000.0,60.0,8.70695
2.0,220.0,1000.0,60.0,8.69815
2.0,240.0,1000.0,60.0,9.01075
2.0,260.0,1000.0,60.0,8.857975
2.0,280.0,1000.0,60.0,8.804125
2.0,300.0,1000.0,60.0,9.028275
2.0,320.0,1000.0,60.0,8.761525
2.0,340.0,1000.0,60.0,8.74425
2.0,360.0,1000.0,60.0,9.000975
2.0,380.0,1000.0,60.0,8.7891
2.0,400.0,1000.0,60.0,8.76655
2.0,420.0,1000.0,60.0,8.9316
2.0,440.0,1000.0,60.0,8.7941
2.0,460.0,1000.0,60.0,9.016775
2.0,480.0,1000.0,60.0,8.805875
2.0,500.0,1000.0,60.0,8.79435
2.0,520.0,1000.0,60.0,8.964925
2.0,540.0,1000.0,60.0,8.77705
2.0,560.0,1000.0,60.0,8.7758
2.0,580.0,1000.0,60.0,8.99925
