# osu-lat-charm.py 1 4194304 1000 1000 0 charm_lat_intersocket
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,14.339575
1.0,20.0,1000.0,60.0,11.7647
1.0,40.0,1000.0,60.0,10.553175
1.0,60.0,1000.0,60.0,9.465875
1.0,80.0,1000.0,60.0,9.154275
1.0,100.0,1000.0,60.0,9.307825
1.0,120.0,1000.0,60.0,9.58185
1.0,140.0,1000.0,60.0,9.315075
1.0,160.0,1000.0,60.0,9.1122
1.0,180.0,1000.0,60.0,10.051475
1.0,200.0,1000.0,60.0,9.1543
1.0,220.0,1000.0,60.0,9.29855
1.0,240.0,1000.0,60.0,9.27275
1.0,260.0,1000.0,60.0,9.201375
1.0,280.0,1000.0,60.0,9.41625
1.0,300.0,1000.0,60.0,9.2084
1.0,320.0,1000.0,60.0,9.2755
1.0,340.0,1000.0,60.0,9.443825
1.0,360.0,1000.0,60.0,9.1708
1.0,380.0,1000.0,60.0,9.385975
1.0,400.0,1000.0,60.0,9.24495
1.0,420.0,1000.0,60.0,9.26275
1.0,440.0,1000.0,60.0,9.4015
1.0,460.0,1000.0,60.0,9.3286
1.0,480.0,1000.0,60.0,9.259475
1.0,500.0,1000.0,60.0,9.417275
1.0,520.0,1000.0,60.0,9.21765
1.0,540.0,1000.0,60.0,9.30305
1.0,560.0,1000.0,60.0,9.2923
1.0,580.0,1000.0,60.0,9.285775
1.0,600.0,1000.0,60.0,9.74615
1.0,620.0,1000.0,60.0,9.20185
1.0,640.0,1000.0,60.0,9.232175
1.0,660.0,1000.0,60.0,9.4368
1.0,680.0,1000.0,60.0,9.264725
1.0,700.0,1000.0,60.0,9.4263
1.0,720.0,1000.0,60.0,9.254725
1.0,740.0,1000.0,60.0,9.333375
1.0,760.0,1000.0,60.0,9.4561
1.0,780.0,1000.0,60.0,9.172325
1.0,800.0,1000.0,60.0,9.232925
1.0,820.0,1000.0,60.0,9.59385
1.0,840.0,1000.0,60.0,9.19585
1.0,860.0,1000.0,60.0,9.419275
1.0,880.0,1000.0,60.0,9.3018
1.0,900.0,1000.0,60.0,9.2913
1.0,920.0,1000.0,60.0,9.500675
1.0,940.0,1000.0,60.0,9.37295
1.0,960.0,1000.0,60.0,9.2149
1.0,980.0,1000.0,60.0,9.417275
1.0,1000.0,1000.0,60.0,9.499675
1.0,1020.0,1000.0,60.0,9.90645
1.0,1040.0,1000.0,60.0,9.235425
2.0,0.0,1000.0,60.0,10.0928
2.0,20.0,1000.0,60.0,9.575575
2.0,40.0,1000.0,60.0,9.242175
2.0,60.0,1000.0,60.0,9.40025
2.0,80.0,1000.0,60.0,9.124725
2.0,100.0,1000.0,60.0,9.175075
2.0,120.0,1000.0,60.0,9.264
2.0,140.0,1000.0,60.0,9.0706
2.0,160.0,1000.0,60.0,9.127975
2.0,180.0,1000.0,60.0,9.23065
2.0,200.0,1000.0,60.0,9.606875
2.0,220.0,1000.0,60.0,9.3161
2.0,240.0,1000.0,60.0,9.1613
2.0,260.0,1000.0,60.0,9.109675
2.0,280.0,1000.0,60.0,9.288525
2.0,300.0,1000.0,60.0,9.0984
2.0,320.0,1000.0,60.0,9.130725
2.0,340.0,1000.0,60.0,9.396225
2.0,360.0,1000.0,60.0,9.09215
2.0,380.0,1000.0,60.0,9.5012
2.0,400.0,1000.0,60.0,9.144275
2.0,420.0,1000.0,60.0,9.365675
2.0,440.0,1000.0,60.0,9.294275
2.0,460.0,1000.0,60.0,9.10895
2.0,480.0,1000.0,60.0,9.14475
2.0,500.0,1000.0,60.0,9.414775
2.0,520.0,1000.0,60.0,9.09265
2.0,540.0,1000.0,60.0,9.336875
2.0,560.0,1000.0,60.0,9.102675
2.0,580.0,1000.0,60.0,9.216625
2.0,600.0,1000.0,60.0,9.34465
2.0,620.0,1000.0,60.0,9.05635
2.0,640.0,1000.0,60.0,9.14275
2.0,660.0,1000.0,60.0,9.3256
2.0,680.0,1000.0,60.0,9.076375
2.0,700.0,1000.0,60.0,9.126475
2.0,720.0,1000.0,60.0,9.24645
2.0,740.0,1000.0,60.0,9.02305
2.0,760.0,1000.0,60.0,9.36695
2.0,780.0,1000.0,60.0,9.0754
2.0,800.0,1000.0,60.0,9.129475
2.0,820.0,1000.0,60.0,9.37495
2.0,840.0,1000.0,60.0,9.074625
2.0,860.0,1000.0,60.0,9.0591
2.0,880.0,1000.0,60.0,9.3271
2.0,900.0,1000.0,60.0,9.05935
2.0,920.0,1000.0,60.0,9.239425
2.0,940.0,1000.0,60.0,9.09065
2.0,960.0,1000.0,60.0,9.100925
2.0,980.0,1000.0,60.0,9.3544
2.0,1000.0,1000.0,60.0,9.07385
2.0,1020.0,1000.0,60.0,9.10145
2.0,1040.0,1000.0,60.0,9.280775
4.0,0.0,1000.0,60.0,9.796725
4.0,20.0,1000.0,60.0,9.3782
4.0,40.0,1000.0,60.0,9.0691
4.0,60.0,1000.0,60.0,9.22015
4.0,80.0,1000.0,60.0,9.29505
4.0,100.0,1000.0,60.0,9.046075
4.0,120.0,1000.0,60.0,9.1047
4.0,140.0,1000.0,60.0,9.388475
4.0,160.0,1000.0,60.0,9.076875
4.0,180.0,1000.0,60.0,9.27325
4.0,200.0,1000.0,60.0,9.013025
4.0,220.0,1000.0,60.0,9.092675
4.0,240.0,1000.0,60.0,9.469625
4.0,260.0,1000.0,60.0,9.11145
4.0,280.0,1000.0,60.0,9.0581
4.0,300.0,1000.0,60.0,9.280025
4.0,320.0,1000.0,60.0,9.127975
4.0,340.0,1000.0,60.0,9.28755
4.0,360.0,1000.0,60.0,9.008
4.0,380.0,1000.0,60.0,9.064875
4.0,400.0,1000.0,60.0,9.29755
4.0,420.0,1000.0,60.0,9.109175
4.0,440.0,1000.0,60.0,9.05135
4.0,460.0,1000.0,60.0,9.273
4.0,480.0,1000.0,60.0,9.07915
4.0,500.0,1000.0,60.0,9.0899
4.0,520.0,1000.0,60.0,9.2447
4.0,540.0,1000.0,60.0,9.0641
4.0,560.0,1000.0,60.0,9.394475
4.0,580.0,1000.0,60.0,9.05785
4.0,600.0,1000.0,60.0,8.9677
4.0,620.0,1000.0,60.0,9.31935
4.0,640.0,1000.0,60.0,9.0749
4.0,660.0,1000.0,60.0,9.142775
4.0,680.0,1000.0,60.0,9.194875
4.0,700.0,1000.0,60.0,9.046325
4.0,720.0,1000.0,60.0,9.204875
4.0,740.0,1000.0,60.0,9.006
4.0,760.0,1000.0,60.0,9.05485
4.0,780.0,1000.0,60.0,9.250225
4.0,800.0,1000.0,60.0,9.0691
4.0,820.0,1000.0,60.0,9.043825
4.0,840.0,1000.0,60.0,9.201375
4.0,860.0,1000.0,60.0,9.045325
4.0,880.0,1000.0,60.0,9.13075
4.0,900.0,1000.0,60.0,9.161275
4.0,920.0,1000.0,60.0,9.067625
4.0,940.0,1000.0,60.0,9.212125
4.0,960.0,1000.0,60.0,9.092925
4.0,980.0,1000.0,60.0,9.049075
4.0,1000.0,1000.0,60.0,9.327625
4.0,1020.0,1000.0,60.0,9.06335
4.0,1040.0,1000.0,60.0,9.111175
8.0,0.0,1000.0,60.0,10.0104
8.0,20.0,1000.0,60.0,9.1996
8.0,40.0,1000.0,60.0,9.24445
8.0,60.0,1000.0,60.0,9.128
8.0,80.0,1000.0,60.0,9.0546
8.0,100.0,1000.0,60.0,9.141275
8.0,120.0,1000.0,60.0,9.082625
8.0,140.0,1000.0,60.0,9.043075
8.0,160.0,1000.0,60.0,9.518225
8.0,180.0,1000.0,60.0,9.003
8.0,200.0,1000.0,60.0,9.11945
8.0,220.0,1000.0,60.0,8.995975
8.0,240.0,1000.0,60.0,9.017025
8.0,260.0,1000.0,60.0,9.307075
8.0,280.0,1000.0,60.0,9.125225
8.0,300.0,1000.0,60.0,9.06285
8.0,320.0,1000.0,60.0,9.32535
8.0,340.0,1000.0,60.0,9.069375
8.0,360.0,1000.0,60.0,9.203625
8.0,380.0,1000.0,60.0,9.100175
8.0,400.0,1000.0,60.0,9.13225
8.0,420.0,1000.0,60.0,9.178075
8.0,440.0,1000.0,60.0,9.104175
8.0,460.0,1000.0,60.0,9.11245
8.0,480.0,1000.0,60.0,9.237425
8.0,500.0,1000.0,60.0,9.072875
8.0,520.0,1000.0,60.0,9.17105
8.0,540.0,1000.0,60.0,9.21165
8.0,560.0,1000.0,60.0,9.00325
8.0,580.0,1000.0,60.0,9.214875
8.0,600.0,1000.0,60.0,9.041825
8.0,620.0,1000.0,60.0,9.0764
8.0,640.0,1000.0,60.0,9.2194
8.0,660.0,1000.0,60.0,9.03305
8.0,680.0,1000.0,60.0,9.178575
8.0,700.0,1000.0,60.0,9.254725
8.0,720.0,1000.0,60.0,9.053825
8.0,740.0,1000.0,60.0,9.177825
8.0,760.0,1000.0,60.0,9.129725
8.0,780.0,1000.0,60.0,9.1167
8.0,800.0,1000.0,60.0,9.286775
8.0,820.0,1000.0,60.0,9.041075
8.0,840.0,1000.0,60.0,9.015025
8.0,860.0,1000.0,60.0,9.30305
8.0,880.0,1000.0,60.0,9.0829
8.0,900.0,1000.0,60.0,9.10345
8.0,920.0,1000.0,60.0,9.20135
8.0,940.0,1000.0,60.0,9.062625
8.0,960.0,1000.0,60.0,9.292025
8.0,980.0,1000.0,60.0,9.06835
8.0,1000.0,1000.0,60.0,9.0611
8.0,1020.0,1000.0,60.0,9.359425
8.0,1040.0,1000.0,60.0,9.068875
16.0,0.0,1000.0,60.0,9.724375
16.0,20.0,1000.0,60.0,9.229175
16.0,40.0,1000.0,60.0,9.0338
16.0,60.0,1000.0,60.0,9.3221
16.0,80.0,1000.0,60.0,9.160025
16.0,100.0,1000.0,60.0,9.045325
16.0,120.0,1000.0,60.0,9.199875
16.0,140.0,1000.0,60.0,9.033825
16.0,160.0,1000.0,60.0,9.040075
16.0,180.0,1000.0,60.0,9.19035
16.0,200.0,1000.0,60.0,8.994725
16.0,220.0,1000.0,60.0,9.30005
16.0,240.0,1000.0,60.0,9.056325
16.0,260.0,1000.0,60.0,9.073125
16.0,280.0,1000.0,60.0,9.24895
16.0,300.0,1000.0,60.0,9.021025
16.0,320.0,1000.0,60.0,9.06085
