# osu-lat-mpi.py 1 4194304 1000 1000 0 mpi_lat_intrasocket
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,3.92765
1.0,20.0,1000.0,60.0,1.178975
1.0,40.0,1000.0,60.0,1.1354
1.0,60.0,1000.0,60.0,0.06235
1.0,80.0,1000.0,60.0,1.157425
1.0,100.0,1000.0,60.0,1.16295
1.0,120.0,1000.0,60.0,1.182
1.0,140.0,1000.0,60.0,1.144175
1.0,160.0,1000.0,60.0,1.207775
1.0,180.0,1000.0,60.0,1.2709
1.0,200.0,1000.0,60.0,1.154675
1.0,220.0,1000.0,60.0,1.153425
1.0,240.0,1000.0,60.0,1.166975
1.0,260.0,1000.0,60.0,1.1479
1.0,280.0,1000.0,60.0,1.14515
1.0,300.0,1000.0,60.0,1.155425
1.0,320.0,1000.0,60.0,1.14565
1.0,340.0,1000.0,60.0,1.147425
1.0,360.0,1000.0,60.0,1.158175
1.0,380.0,1000.0,60.0,1.1662
1.0,400.0,1000.0,60.0,1.14265
1.0,420.0,1000.0,60.0,1.146675
1.0,440.0,1000.0,60.0,1.14415
1.0,460.0,1000.0,60.0,1.14215
1.0,480.0,1000.0,60.0,1.151175
1.0,500.0,1000.0,60.0,1.16495
1.0,520.0,1000.0,60.0,1.145425
1.0,540.0,1000.0,60.0,1.144925
1.0,560.0,1000.0,60.0,1.154925
1.0,580.0,1000.0,60.0,1.237325
1.0,600.0,1000.0,60.0,1.2466
1.0,620.0,1000.0,60.0,1.17295
1.0,640.0,1000.0,60.0,1.147175
1.0,660.0,1000.0,60.0,1.14015
1.0,680.0,1000.0,60.0,1.148925
1.0,700.0,1000.0,60.0,1.1414
1.0,720.0,1000.0,60.0,1.146425
1.0,740.0,1000.0,60.0,1.155425
1.0,760.0,1000.0,60.0,1.1677
1.0,780.0,1000.0,60.0,1.1444
1.0,800.0,1000.0,60.0,1.15195
1.0,820.0,1000.0,60.0,1.1429
1.0,840.0,1000.0,60.0,1.154675
1.0,860.0,1000.0,60.0,1.1474
1.0,880.0,1000.0,60.0,1.160425
1.0,900.0,1000.0,60.0,1.14065
1.0,920.0,1000.0,60.0,1.1409
1.0,940.0,1000.0,60.0,1.155675
1.0,960.0,1000.0,60.0,1.155425
1.0,980.0,1000.0,60.0,1.14065
1.0,1000.0,1000.0,60.0,1.160925
1.0,1020.0,1000.0,60.0,1.229325
1.0,1040.0,1000.0,60.0,1.152675
2.0,0.0,1000.0,60.0,1.1662
2.0,20.0,1000.0,60.0,1.160675
2.0,40.0,1000.0,60.0,1.1592
2.0,60.0,1000.0,60.0,0.063625
2.0,80.0,1000.0,60.0,1.1459
2.0,100.0,1000.0,60.0,1.14965
2.0,120.0,1000.0,60.0,1.144925
2.0,140.0,1000.0,60.0,1.154175
2.0,160.0,1000.0,60.0,1.157175
2.0,180.0,1000.0,60.0,1.170475
2.0,200.0,1000.0,60.0,1.1474
2.0,220.0,1000.0,60.0,1.161175
2.0,240.0,1000.0,60.0,1.152675
2.0,260.0,1000.0,60.0,1.1557
2.0,280.0,1000.0,60.0,1.151675
2.0,300.0,1000.0,60.0,1.183475
2.0,320.0,1000.0,60.0,1.16395
2.0,340.0,1000.0,60.0,1.22255
2.0,360.0,1000.0,60.0,1.222825
2.0,380.0,1000.0,60.0,1.145175
2.0,400.0,1000.0,60.0,1.147925
2.0,420.0,1000.0,60.0,1.1454
2.0,440.0,1000.0,60.0,1.1777
2.0,460.0,1000.0,60.0,1.153925
2.0,480.0,1000.0,60.0,1.14715
2.0,500.0,1000.0,60.0,1.151675
2.0,520.0,1000.0,60.0,1.16145
2.0,540.0,1000.0,60.0,1.153675
2.0,560.0,1000.0,60.0,1.163675
2.0,580.0,1000.0,60.0,1.153925
2.0,600.0,1000.0,60.0,1.156675
2.0,620.0,1000.0,60.0,1.15015
2.0,640.0,1000.0,60.0,1.151175
2.0,660.0,1000.0,60.0,1.1439
2.0,680.0,1000.0,60.0,1.172975
2.0,700.0,1000.0,60.0,1.152175
2.0,720.0,1000.0,60.0,1.152175
2.0,740.0,1000.0,60.0,1.1459
