# osu-lat-mpi.py 1 4194304 1000 1000 0 mpi_lat_intersocket
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,4.893475
1.0,20.0,1000.0,60.0,1.34705
1.0,40.0,1000.0,60.0,1.3538
1.0,60.0,1000.0,60.0,0.071125
1.0,80.0,1000.0,60.0,1.35005
1.0,100.0,1000.0,60.0,1.356325
1.0,120.0,1000.0,60.0,1.40115
1.0,140.0,1000.0,60.0,1.3588
1.0,160.0,1000.0,60.0,1.35805
1.0,180.0,1000.0,60.0,1.361075
1.0,200.0,1000.0,60.0,1.421425
1.0,220.0,1000.0,60.0,1.358575
1.0,240.0,1000.0,60.0,1.390625
1.0,260.0,1000.0,60.0,1.365825
1.0,280.0,1000.0,60.0,1.35105
1.0,300.0,1000.0,60.0,1.355325
1.0,320.0,1000.0,60.0,1.340525
1.0,340.0,1000.0,60.0,1.4788
1.0,360.0,1000.0,60.0,1.392625
1.0,380.0,1000.0,60.0,1.36935
1.0,400.0,1000.0,60.0,1.36635
1.0,420.0,1000.0,60.0,1.36735
1.0,440.0,1000.0,60.0,1.34955
1.0,460.0,1000.0,60.0,1.370325
1.0,480.0,1000.0,60.0,1.36105
1.0,500.0,1000.0,60.0,1.3548
1.0,520.0,1000.0,60.0,1.3513
1.0,540.0,1000.0,60.0,1.3588
1.0,560.0,1000.0,60.0,1.418675
1.0,580.0,1000.0,60.0,1.35305
1.0,600.0,1000.0,60.0,1.3483
1.0,620.0,1000.0,60.0,1.39515
1.0,640.0,1000.0,60.0,1.35055
1.0,660.0,1000.0,60.0,1.365825
1.0,680.0,1000.0,60.0,1.35705
1.0,700.0,1000.0,60.0,1.3691
1.0,720.0,1000.0,60.0,1.353575
1.0,740.0,1000.0,60.0,1.3781
1.0,760.0,1000.0,60.0,1.364075
1.0,780.0,1000.0,60.0,1.357075
1.0,800.0,1000.0,60.0,1.3543
1.0,820.0,1000.0,60.0,1.362325
1.0,840.0,1000.0,60.0,1.422425
1.0,860.0,1000.0,60.0,1.366575
1.0,880.0,1000.0,60.0,1.378125
1.0,900.0,1000.0,60.0,1.364075
1.0,920.0,1000.0,60.0,1.358325
1.0,940.0,1000.0,60.0,1.36105
1.0,960.0,1000.0,60.0,1.3701
1.0,980.0,1000.0,60.0,1.363325
1.0,1000.0,1000.0,60.0,1.389875
1.0,1020.0,1000.0,60.0,1.37735
1.0,1040.0,1000.0,60.0,1.464525
2.0,0.0,1000.0,60.0,1.36355
2.0,20.0,1000.0,60.0,1.359825
2.0,40.0,1000.0,60.0,1.361575
2.0,60.0,1000.0,60.0,0.079425
2.0,80.0,1000.0,60.0,1.35455
2.0,100.0,1000.0,60.0,1.35005
2.0,120.0,1000.0,60.0,1.390625
2.0,140.0,1000.0,60.0,1.3558
2.0,160.0,1000.0,60.0,1.3518
2.0,180.0,1000.0,60.0,1.3806
2.0,200.0,1000.0,60.0,1.3578
2.0,220.0,1000.0,60.0,1.3588
2.0,240.0,1000.0,60.0,1.343275
2.0,260.0,1000.0,60.0,1.342025
2.0,280.0,1000.0,60.0,1.348025
2.0,300.0,1000.0,60.0,1.367825
2.0,320.0,1000.0,60.0,1.447475
2.0,340.0,1000.0,60.0,1.362075
2.0,360.0,1000.0,60.0,1.35355
2.0,380.0,1000.0,60.0,1.334775
2.0,400.0,1000.0,60.0,1.354075
2.0,420.0,1000.0,60.0,1.34905
2.0,440.0,1000.0,60.0,1.3766
2.0,460.0,1000.0,60.0,1.3781
2.0,480.0,1000.0,60.0,1.34905
2.0,500.0,1000.0,60.0,1.34305
2.0,520.0,1000.0,60.0,1.354825
2.0,540.0,1000.0,60.0,1.35455
2.0,560.0,1000.0,60.0,1.3876
2.0,580.0,1000.0,60.0,1.359325
2.0,600.0,1000.0,60.0,1.356325
2.0,620.0,1000.0,60.0,1.3498
2.0,640.0,1000.0,60.0,1.35455
2.0,660.0,1000.0,60.0,1.345525
2.0,680.0,1000.0,60.0,1.45725
2.0,700.0,1000.0,60.0,1.368825
2.0,720.0,1000.0,60.0,1.403925
2.0,740.0,1000.0,60.0,1.34855
2.0,760.0,1000.0,60.0,1.356825
2.0,780.0,1000.0,60.0,1.3558
2.0,800.0,1000.0,60.0,1.3573
2.0,820.0,1000.0,60.0,1.383125
2.0,840.0,1000.0,60.0,1.367075
2.0,860.0,1000.0,60.0,1.357825
2.0,880.0,1000.0,60.0,1.362325
2.0,900.0,1000.0,60.0,1.36155
2.0,920.0,1000.0,60.0,1.363325
2.0,940.0,1000.0,60.0,1.44575
2.0,960.0,1000.0,60.0,1.36635
2.0,980.0,1000.0,60.0,1.367075
2.0,1000.0,1000.0,60.0,1.36155
2.0,1020.0,1000.0,60.0,1.361325
2.0,1040.0,1000.0,60.0,1.44495
4.0,0.0,1000.0,60.0,1.40515
4.0,20.0,1000.0,60.0,1.360825
4.0,40.0,1000.0,60.0,1.349525
4.0,60.0,1000.0,60.0,0.0754
4.0,80.0,1000.0,60.0,1.340525
4.0,100.0,1000.0,60.0,1.349775
4.0,120.0,1000.0,60.0,1.4222
4.0,140.0,1000.0,60.0,1.35055
4.0,160.0,1000.0,60.0,1.35755
4.0,180.0,1000.0,60.0,1.366825
4.0,200.0,1000.0,60.0,1.356575
4.0,220.0,1000.0,60.0,1.342525
4.0,240.0,1000.0,60.0,1.3736
4.0,260.0,1000.0,60.0,1.361825
4.0,280.0,1000.0,60.0,1.360825
4.0,300.0,1000.0,60.0,1.35005
4.0,320.0,1000.0,60.0,1.455
4.0,340.0,1000.0,60.0,1.365075
4.0,360.0,1000.0,60.0,1.3811
