# osu-lat-mpi.py 1 4194304 1000 1000 0 mpi_lat_internode
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,533.704025
1.0,20.0,1000.0,60.0,12.887975
1.0,40.0,1000.0,60.0,12.897975
1.0,60.0,1000.0,60.0,1.32375
1.0,80.0,1000.0,60.0,12.9443
1.0,100.0,1000.0,60.0,12.600425
1.0,120.0,1000.0,60.0,12.77625
1.0,140.0,1000.0,60.0,12.59565
1.0,160.0,1000.0,60.0,12.86265
1.0,180.0,1000.0,60.0,12.56435
1.0,200.0,1000.0,60.0,12.83685
1.0,220.0,1000.0,60.0,12.603675
1.0,240.0,1000.0,60.0,12.51475
1.0,260.0,1000.0,60.0,12.577125
1.0,280.0,1000.0,60.0,12.93655
1.0,300.0,1000.0,60.0,12.66205
1.0,320.0,1000.0,60.0,12.633975
1.0,340.0,1000.0,60.0,12.695575
1.0,360.0,1000.0,60.0,12.816575
1.0,380.0,1000.0,60.0,12.5095
1.0,400.0,1000.0,60.0,12.8847
1.0,420.0,1000.0,60.0,12.585625
1.0,440.0,1000.0,60.0,12.57085
1.0,460.0,1000.0,60.0,12.5651
1.0,480.0,1000.0,60.0,12.603925
1.0,500.0,1000.0,60.0,12.709125
1.0,520.0,1000.0,60.0,12.612675
1.0,540.0,1000.0,60.0,12.755225
1.0,560.0,1000.0,60.0,12.518025
1.0,580.0,1000.0,60.0,12.73165
1.0,600.0,1000.0,60.0,12.62195
1.0,620.0,1000.0,60.0,12.70035
1.0,640.0,1000.0,60.0,12.504725
1.0,660.0,1000.0,60.0,12.85865
1.0,680.0,1000.0,60.0,12.64325
1.0,700.0,1000.0,60.0,12.7031
1.0,720.0,1000.0,60.0,12.5085
1.0,740.0,1000.0,60.0,12.868675
1.0,760.0,1000.0,60.0,12.56385
1.0,780.0,1000.0,60.0,12.850125
1.0,800.0,1000.0,60.0,12.365475
1.0,820.0,1000.0,60.0,12.78075
1.0,840.0,1000.0,60.0,12.663025
1.0,860.0,1000.0,60.0,12.689825
1.0,880.0,1000.0,60.0,12.571375
1.0,900.0,1000.0,60.0,12.66955
1.0,920.0,1000.0,60.0,12.809325
1.0,940.0,1000.0,60.0,12.6395
1.0,960.0,1000.0,60.0,12.66255
1.0,980.0,1000.0,60.0,12.96335
1.0,1000.0,1000.0,60.0,12.468425
1.0,1020.0,1000.0,60.0,12.6713
1.0,1040.0,1000.0,60.0,12.61095
2.0,0.0,1000.0,60.0,12.616975
2.0,20.0,1000.0,60.0,12.770225
2.0,40.0,1000.0,60.0,12.584875
2.0,60.0,1000.0,60.0,1.341525
2.0,80.0,1000.0,60.0,12.602675
2.0,100.0,1000.0,60.0,12.772975
2.0,120.0,1000.0,60.0,12.608425
2.0,140.0,1000.0,60.0,12.66455
2.0,160.0,1000.0,60.0,12.605925
2.0,180.0,1000.0,60.0,12.732675
2.0,200.0,1000.0,60.0,12.614175
2.0,220.0,1000.0,60.0,12.88795
2.0,240.0,1000.0,60.0,12.574375
2.0,260.0,1000.0,60.0,12.6127
2.0,280.0,1000.0,60.0,12.597675
2.0,300.0,1000.0,60.0,12.570625
2.0,320.0,1000.0,60.0,12.656025
2.0,340.0,1000.0,60.0,12.708875
2.0,360.0,1000.0,60.0,12.75995
2.0,380.0,1000.0,60.0,12.6748
2.0,400.0,1000.0,60.0,12.378
2.0,420.0,1000.0,60.0,12.736925
2.0,440.0,1000.0,60.0,12.497225
2.0,460.0,1000.0,60.0,12.527275
2.0,480.0,1000.0,60.0,12.5358
2.0,500.0,1000.0,60.0,12.521525
2.0,520.0,1000.0,60.0,12.5318
2.0,540.0,1000.0,60.0,12.699375
2.0,560.0,1000.0,60.0,12.629475
2.0,580.0,1000.0,60.0,12.48495
2.0,600.0,1000.0,60.0,12.667775
2.0,620.0,1000.0,60.0,12.7685
2.0,640.0,1000.0,60.0,12.440625
2.0,660.0,1000.0,60.0,12.7512
2.0,680.0,1000.0,60.0,12.331675
2.0,700.0,1000.0,60.0,12.59415
2.0,720.0,1000.0,60.0,12.782275
2.0,740.0,1000.0,60.0,12.68055
2.0,760.0,1000.0,60.0,12.789025
2.0,780.0,1000.0,60.0,12.53005
2.0,800.0,1000.0,60.0,12.62645
2.0,820.0,1000.0,60.0,12.53405
2.0,840.0,1000.0,60.0,12.733675
2.0,860.0,1000.0,60.0,12.619975
2.0,880.0,1000.0,60.0,12.5278
2.0,900.0,1000.0,60.0,12.570125
2.0,920.0,1000.0,60.0,12.634475
2.0,940.0,1000.0,60.0,12.61845
2.0,960.0,1000.0,60.0,12.7557
2.0,980.0,1000.0,60.0,12.684075
2.0,1000.0,1000.0,60.0,12.911
2.0,1020.0,1000.0,60.0,12.600175
2.0,1040.0,1000.0,60.0,12.521
4.0,0.0,1000.0,60.0,12.560575
4.0,20.0,1000.0,60.0,12.627725
4.0,40.0,1000.0,60.0,12.451875
4.0,60.0,1000.0,60.0,0.6785
4.0,80.0,1000.0,60.0,12.57185
4.0,100.0,1000.0,60.0,12.716875
4.0,120.0,1000.0,60.0,12.71015
4.0,140.0,1000.0,60.0,12.45265
4.0,160.0,1000.0,60.0,12.614425
4.0,180.0,1000.0,60.0,12.64075
4.0,200.0,1000.0,60.0,12.49195
4.0,220.0,1000.0,60.0,12.440375
