# osu-lat-charm.py 1 4194304 1000 1000 0 charm_lat_internode
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,13.819475
1.0,20.0,1000.0,60.0,11.514625
1.0,40.0,1000.0,60.0,11.438725
1.0,60.0,1000.0,60.0,10.235725
1.0,80.0,1000.0,60.0,9.9159
1.0,100.0,1000.0,60.0,10.0306
1.0,120.0,1000.0,60.0,10.042625
1.0,140.0,1000.0,60.0,9.9026
1.0,160.0,1000.0,60.0,9.886325
1.0,180.0,1000.0,60.0,9.883325
1.0,200.0,1000.0,60.0,9.8818
1.0,220.0,1000.0,60.0,9.99505
1.0,240.0,1000.0,60.0,10.577375
1.0,260.0,1000.0,60.0,10.0792
1.0,280.0,1000.0,60.0,9.9219
1.0,300.0,1000.0,60.0,9.965475
1.0,320.0,1000.0,60.0,9.87105
1.0,340.0,1000.0,60.0,10.044625
1.0,360.0,1000.0,60.0,9.962225
1.0,380.0,1000.0,60.0,10.0386
1.0,400.0,1000.0,60.0,9.928925
1.0,420.0,1000.0,60.0,9.94595
1.0,440.0,1000.0,60.0,10.022075
1.0,460.0,1000.0,60.0,10.02985
1.0,480.0,1000.0,60.0,10.095475
1.0,500.0,1000.0,60.0,10.0038
1.0,520.0,1000.0,60.0,9.9482
1.0,540.0,1000.0,60.0,9.963475
1.0,560.0,1000.0,60.0,10.0038
1.0,580.0,1000.0,60.0,9.92865
1.0,600.0,1000.0,60.0,9.995275
1.0,620.0,1000.0,60.0,9.909875
1.0,640.0,1000.0,60.0,10.0817
1.0,660.0,1000.0,60.0,9.953975
1.0,680.0,1000.0,60.0,10.034875
1.0,700.0,1000.0,60.0,9.995275
1.0,720.0,1000.0,60.0,9.84275
1.0,740.0,1000.0,60.0,9.9785
1.0,760.0,1000.0,60.0,9.968225
1.0,780.0,1000.0,60.0,9.967975
1.0,800.0,1000.0,60.0,10.090225
1.0,820.0,1000.0,60.0,9.93265
1.0,840.0,1000.0,60.0,10.075175
