#/home1/08302/tg876011/charm-mpi-compare/stencil/stencil-charm.py 192 100 24576 24576 strong_scaling_results +no_isomalloc_sync
Process,Num processes,Iteration,Iteration Time,Communication Time,Computation Time
0,192,1,0.507051878,0.32216656,0.184885318
0,192,2,0.156252702,0.143754601,0.012498101
0,192,3,0.128180612,0.114965562,0.01321505
0,192,4,0.033537374,0.021268722,0.012268652
0,192,5,0.060644888,0.048427284,0.012217604
0,192,6,0.048535416,0.035708142,0.012827274
0,192,7,0.02980106,0.017070885,0.012730175
0,192,8,0.038418371,0.024126321,0.01429205
0,192,9,0.024935493,0.009306188,0.015629305
0,192,10,0.022292744,0.006034139,0.016258605
0,192,11,0.021400242,0.004646645,0.016753597
0,192,12,0.01926144,0.002369777,0.016891663
0,192,13,0.019954277,0.00219858,0.017755697
0,192,14,0.019437399,0.001438905,0.017998494
0,192,15,0.018835102,0.000764179,0.018070923
0,192,16,0.018771011,0.000786191,0.01798482
0,192,17,0.018706592,0.000804873,0.017901719
0,192,18,0.019007514,0.001259855,0.017747659
0,192,19,0.018871347,0.001207578,0.017663769
0,192,20,0.018982158,0.001360905,0.017621253
0,192,21,0.019182817,0.001481517,0.0177013
0,192,22,0.020514967,0.002520983,0.017993984
0,192,23,0.019092954,0.001141623,0.017951331
0,192,24,0.018498632,0.000582566,0.017916066
0,192,25,0.021424622,0.00310403,0.018320592
0,192,26,0.018698848,0.000813469,0.017885379
0,192,27,0.018693456,0.001159997,0.017533459
0,192,28,0.020293343,0.003164308,0.017129035
0,192,29,0.018817844,0.001145461,0.017672383
0,192,30,0.021013548,0.003209051,0.017804497
0,192,31,0.017936199,0.0005527,0.017383499
0,192,32,0.017593055,0.000689653,0.016903402
0,192,33,0.017785674,0.000700428,0.017085246
0,192,34,0.017908374,0.000699571,0.017208803
0,192,35,0.023161347,0.005016164,0.018145183
0,192,36,0.018857825,0.000783911,0.018073914
0,192,37,0.018896591,0.000689245,0.018207346
0,192,38,0.018776795,0.00071335,0.018063445
0,192,39,0.018576094,0.000689097,0.017886997
0,192,40,0.018723996,0.000753565,0.017970431
0,192,41,0.018481202,0.000849669,0.017631533
0,192,42,0.022113347,0.003817895,0.018295452
0,192,43,0.020100457,0.001705705,0.018394752
0,192,44,0.0188594,0.000859863,0.017999537
0,192,45,0.019124296,0.000806174,0.018318122
0,192,46,0.019021963,0.001082154,0.017939809
0,192,47,0.019456412,0.001316424,0.018139988
0,192,48,0.019785082,0.001631229,0.018153853
0,192,49,0.019525625,0.001497286,0.018028339
0,192,50,0.019066503,0.001101435,0.017965068
0,192,51,0.019404075,0.001279829,0.018124246
0,192,52,0.019150682,0.000847961,0.018302721
0,192,53,0.019025441,0.000765888,0.018259553
0,192,54,0.01904559,0.000834471,0.018211119
0,192,55,0.019025917,0.000804529,0.018221388
0,192,56,0.0189494,0.000928739,0.018020661
0,192,57,0.018954925,0.000824421,0.018130504
0,192,58,0.018872219,0.000815255,0.018056964
0,192,59,0.019070414,0.000840095,0.018230319
0,192,60,0.019121148,0.000861995,0.018259153
0,192,61,0.018917812,0.000795506,0.018122306
0,192,62,0.01892657,0.000725323,0.018201247
0,192,63,0.019224933,0.000814386,0.018410547
0,192,64,0.018986582,0.000799537,0.018187045
0,192,65,0.019122828,0.000760324,0.018362504
0,192,66,0.018700934,0.000685564,0.01801537
0,192,67,0.019041698,0.000741541,0.018300157
0,192,68,0.01869538,0.00068507,0.01801031
0,192,69,0.018996138,0.000684269,0.018311869
0,192,70,0.01872692,0.00068154,0.01804538
0,192,71,0.018939158,0.000681475,0.018257683
0,192,72,0.018763989,0.000667892,0.018096097
0,192,73,0.018778457,0.000628849,0.018149608
0,192,74,0.01887226,0.000676071,0.018196189
0,192,75,0.018805684,0.00070256,0.018103124
0,192,76,0.018695337,0.000623455,0.018071882
0,192,77,0.018778971,0.000640661,0.01813831
0,192,78,0.018867429,0.00068322,0.018184209
0,192,79,0.018882836,0.000613096,0.01826974
0,192,80,0.018719106,0.000632783,0.018086323
0,192,81,0.018869689,0.00067934,0.018190349
0,192,82,0.018838274,0.000666686,0.018171588
0,192,83,0.018934892,0.000657848,0.018277044
0,192,84,0.018823945,0.000631321,0.018192624
0,192,85,0.018781212,0.000664769,0.018116443
0,192,86,0.018729471,0.000649005,0.018080466
0,192,87,0.019008181,0.000684036,0.018324145
0,192,88,0.018876259,0.000718324,0.018157935
0,192,89,0.019018686,0.000680745,0.018337941
0,192,90,0.01902995,0.000648597,0.018381353
0,192,91,0.018997829,0.000686859,0.01831097
0,192,92,0.01880882,0.000666155,0.018142665
0,192,93,0.019094944,0.000684021,0.018410923
0,192,94,0.018923748,0.000625257,0.018298491
0,192,95,0.019031187,0.000680414,0.018350773
0,192,96,0.018747159,0.000642163,0.018104996
0,192,97,0.01902031,0.000602763,0.018417547
0,192,98,0.018862857,0.000547718,0.018315139
0,192,99,0.019000236,0.000629876,0.01837036
0,192,100,0.018929098,0.000565881,0.018363217
0,192,101,0.018975965,0.000578582,0.018397383
0,192,102,0.018635137,0.000586152,0.018048985
0,192,103,0.019075077,0.000623579,0.018451498
0,192,104,0.018514709,0.00062477,0.017889939
0,192,105,0.018911208,0.000613587,0.018297621
0,192,106,0.018521752,0.00060792,0.017913832
0,192,107,0.01899724,0.000667275,0.018329965
0,192,108,0.018622872,0.000641501,0.017981371
0,192,109,0.018997358,0.000606315,0.018391043
0,192,110,0.018616687,0.000672528,0.017944159
1,192,1,0.629246784,0.493331565,0.135915219
1,192,2,0.12740578,0.113433918,0.013971862
1,192,3,0.034496001,0.022158052,0.012337949
1,192,4,0.060738373,0.048727723,0.01201065
1,192,5,0.047818421,0.034976967,0.012841454
1,192,6,0.030026849,0.017746033,0.012280816
1,192,7,0.029259174,0.016142591,0.013116583
1,192,8,0.022605607,0.008509027,0.01409658
1,192,9,0.024475994,0.009080054,0.01539594
1,192,10,0.022880855,0.006612489,0.016268366
1,192,11,0.020357834,0.004021345,0.016336489
1,192,12,0.019809894,0.003165227,0.016644667
1,192,13,0.018876222,0.001601186,0.017275036
1,192,14,0.019474143,0.001902839,0.017571304
1,192,15,0.018699384,0.001369611,0.017329773
1,192,16,0.018743935,0.001366785,0.01737715
1,192,17,0.01850825,0.00125627,0.01725198
1,192,18,0.018629433,0.00160297,0.017026463
1,192,19,0.019077317,0.002069884,0.017007433
1,192,20,0.020149897,0.002920313,0.017229584
1,192,21,0.021522863,0.001323676,0.020199187
1,192,22,0.019387012,0.001197976,0.018189036
1,192,23,0.0180686,0.000603327,0.017465273
1,192,24,0.021492726,0.00380728,0.017685446
1,192,25,0.019123422,0.001240459,0.017882963
1,192,26,0.018748736,0.001051995,0.017696741
1,192,27,0.021023347,0.004366139,0.016657208
1,192,28,0.018247242,0.001625694,0.016621548
1,192,29,0.02017988,0.003279043,0.016900837
1,192,30,0.018986932,0.00183396,0.017152972
1,192,31,0.017762205,0.000860958,0.016901247
1,192,32,0.017823165,0.000987063,0.016836102
1,192,33,0.017176376,0.000673921,0.016502455
1,192,34,0.022917053,0.005860749,0.017056304
1,192,35,0.018685547,0.001491437,0.01719411
1,192,36,0.018625144,0.000937111,0.017688033
1,192,37,0.018955587,0.001270327,0.01768526
1,192,38,0.019069445,0.001381856,0.017687589
1,192,39,0.018374244,0.000920825,0.017453419
1,192,40,0.018945637,0.001395762,0.017549875
1,192,41,0.01971769,0.00252367,0.01719402
1,192,42,0.020799518,0.003193048,0.01760647
1,192,43,0.020344525,0.002565311,0.017779214
1,192,44,0.018868169,0.000848821,0.018019348
1,192,45,0.019296622,0.001532149,0.017764473
1,192,46,0.019263054,0.001682448,0.017580606
1,192,47,0.018508643,0.001012731,0.017495912
1,192,48,0.018951716,0.001334882,0.017616834
1,192,49,0.018988699,0.001301194,0.017687505
1,192,50,0.019171155,0.001748433,0.017422722
1,192,51,0.01892723,0.001482052,0.017445178
1,192,52,0.019425219,0.001960256,0.017464963
1,192,53,0.019170414,0.001690525,0.017479889
1,192,54,0.019164999,0.001536268,0.017628731
1,192,55,0.018994611,0.001416123,0.017578488
1,192,56,0.01913415,0.001445701,0.017688449
1,192,57,0.018841208,0.001306222,0.017534986
1,192,58,0.018983601,0.001469509,0.017514092
1,192,59,0.018769988,0.001346145,0.017423843
1,192,60,0.01919111,0.001660458,0.017530652
1,192,61,0.018788641,0.001572323,0.017216318
1,192,62,0.019039548,0.001649922,0.017389626
1,192,63,0.01911941,0.001577614,0.017541796
1,192,64,0.019172159,0.001708035,0.017464124
1,192,65,0.018942788,0.001435548,0.01750724
1,192,66,0.019062762,0.001650509,0.017412253
1,192,67,0.019082794,0.001349306,0.017733488
1,192,68,0.018923981,0.001300272,0.017623709
1,192,69,0.018804626,0.000994233,0.017810393
1,192,70,0.018926583,0.001255242,0.017671341
1,192,71,0.01864481,0.001026073,0.017618737
1,192,72,0.018862339,0.001323136,0.017539203
1,192,73,0.01886341,0.001205652,0.017657758
1,192,74,0.018703796,0.001106912,0.017596884
1,192,75,0.019005237,0.001324592,0.017680645
1,192,76,0.018800917,0.001143849,0.017657068
1,192,77,0.018725564,0.000971188,0.017754376
1,192,78,0.01878442,0.001054501,0.017729919
1,192,79,0.018723591,0.001127902,0.017595689
1,192,80,0.018902809,0.001288825,0.017613984
1,192,81,0.018859849,0.00114294,0.017716909
1,192,82,0.018971271,0.001119246,0.017852025
1,192,83,0.01859297,0.000966369,0.017626601
1,192,84,0.019276946,0.001350624,0.017926322
1,192,85,0.018417255,0.000863694,0.017553561
1,192,86,0.01900014,0.001296192,0.017703948
1,192,87,0.018680258,0.000953609,0.017726649
1,192,88,0.019036276,0.001299762,0.017736514
1,192,89,0.018874033,0.001120888,0.017753145
1,192,90,0.019133469,0.001307935,0.017825534
1,192,91,0.018910978,0.001201915,0.017709063
1,192,92,0.018922352,0.001295229,0.017627123
1,192,93,0.018815556,0.001167843,0.017647713
1,192,94,0.019264345,0.001465489,0.017798856
1,192,95,0.018724009,0.001133441,0.017590568
1,192,96,0.019105592,0.001372765,0.017732827
1,192,97,0.018604655,0.0010233,0.017581355
1,192,98,0.019156658,0.00140542,0.017751238
1,192,99,0.019030469,0.001172235,0.017858234
1,192,100,0.018938562,0.001124775,0.017813787
1,192,101,0.01872763,0.001111828,0.017615802
1,192,102,0.019396461,0.001366344,0.018030117
1,192,103,0.018521544,0.000693484,0.01782806
1,192,104,0.018919406,0.001138808,0.017780598
1,192,105,0.018554532,0.000727977,0.017826555
1,192,106,0.018815818,0.001055145,0.017760673
1,192,107,0.018492469,0.000824076,0.017668393
1,192,108,0.019230422,0.001336751,0.017893671
1,192,109,0.018234374,0.000681749,0.017552625
1,192,110,0.01922123,0.001518587,0.017702643
2,192,1,0.628610563,0.493138547,0.135472016
2,192,2,0.150019725,0.137535292,0.012484433
2,192,3,0.028136614,0.016122918,0.012013696
2,192,4,0.079466966,0.067019495,0.012447471
2,192,5,0.013876857,0.000997912,0.012878945
2,192,6,0.042582685,0.029970813,0.012611872
2,192,7,0.016601078,0.003382501,0.013218577
2,192,8,0.022686586,0.008620841,0.014065745
2,192,9,0.024365166,0.009090027,0.015275139
2,192,10,0.022417024,0.006406748,0.016010276
2,192,11,0.019704163,0.0034271,0.016277063
2,192,12,0.019584005,0.00332696,0.016257045
2,192,13,0.019855595,0.002783127,0.017072468
2,192,14,0.019207727,0.001817044,0.017390683
2,192,15,0.019013386,0.001551845,0.017461541
2,192,16,0.018211858,0.000928599,0.017283259
2,192,17,0.020051668,0.002518754,0.017532914
2,192,18,0.018767388,0.001644936,0.017122452
2,192,19,0.020227431,0.002627635,0.017599796
2,192,20,0.018915757,0.001423491,0.017492266
2,192,21,0.019214745,0.00166195,0.017552795
2,192,22,0.018977462,0.001773292,0.01720417
2,192,23,0.023465216,0.006003443,0.017461773
2,192,24,0.018811946,0.001377073,0.017434873
2,192,25,0.018785617,0.001274895,0.017510722
2,192,26,0.021898438,0.001349266,0.020549172
2,192,27,0.018645975,0.001636966,0.017009009
2,192,28,0.017125966,0.000652881,0.016473085
2,192,29,0.017472482,0.000446031,0.017026451
2,192,30,0.020150713,0.002709868,0.017440845
2,192,31,0.018401363,0.001550673,0.01685069
2,192,32,0.018453617,0.002047947,0.01640567
2,192,33,0.022809044,0.005986271,0.016822773
2,192,34,0.018520831,0.001452327,0.017068504
2,192,35,0.018106669,0.000924031,0.017182638
2,192,36,0.019049297,0.001713998,0.017335299
2,192,37,0.019001029,0.001535873,0.017465156
2,192,38,0.018665195,0.001214764,0.017450431
2,192,39,0.018865862,0.001434552,0.01743131
2,192,40,0.019917062,0.00242569,0.017491372
2,192,41,0.018277616,0.000710141,0.017567475
2,192,42,0.017938671,0.000665717,0.017272954
2,192,43,0.020333407,0.002742159,0.017591248
2,192,44,0.019898803,0.002383858,0.017514945
2,192,45,0.018986894,0.001253433,0.017733461
2,192,46,0.019042276,0.001534904,0.017507372
2,192,47,0.019542362,0.001858204,0.017684158
2,192,48,0.018554163,0.000937389,0.017616774
2,192,49,0.019043105,0.001283711,0.017759394
2,192,50,0.018672004,0.001318229,0.017353775
2,192,51,0.020550323,0.002769755,0.017780568
2,192,52,0.018625422,0.001127668,0.017497754
2,192,53,0.019510967,0.001937447,0.01757352
2,192,54,0.018935736,0.001267702,0.017668034
2,192,55,0.018702423,0.001203246,0.017499177
2,192,56,0.018283546,0.001049191,0.017234355
2,192,57,0.019319013,0.001816588,0.017502425
2,192,58,0.018576685,0.00134836,0.017228325
2,192,59,0.01906713,0.001769909,0.017297221
2,192,60,0.018722356,0.001496482,0.017225874
2,192,61,0.019272931,0.00191543,0.017357501
2,192,62,0.018840416,0.001415552,0.017424864
2,192,63,0.019142354,0.001628888,0.017513466
2,192,64,0.018968653,0.001589328,0.017379325
2,192,65,0.019313518,0.001856829,0.017456689
2,192,66,0.01864573,0.001440523,0.017205207
2,192,67,0.019279463,0.001901118,0.017378345
2,192,68,0.018892638,0.001688017,0.017204621
2,192,69,0.019236537,0.001714164,0.017522373
2,192,70,0.018913709,0.001290619,0.01762309
2,192,71,0.018998955,0.001283484,0.017715471
2,192,72,0.018395476,0.000966103,0.017429373
2,192,73,0.019060356,0.001385396,0.01767496
2,192,74,0.018828909,0.00122171,0.017607199
2,192,75,0.018928418,0.001103729,0.017824689
2,192,76,0.018967198,0.001180466,0.017786732
2,192,77,0.018847962,0.000999959,0.017848003
2,192,78,0.018573214,0.000832544,0.01774067
2,192,79,0.018858104,0.001069568,0.017788536
2,192,80,0.018571882,0.000953668,0.017618214
2,192,81,0.019099723,0.001260813,0.01783891
2,192,82,0.018493995,0.001053214,0.017440781
2,192,83,0.019256811,0.001488105,0.017768706
2,192,84,0.018243773,0.00083175,0.017412023
2,192,85,0.019495517,0.001876926,0.017618591
2,192,86,0.018221444,0.000818657,0.017402787
2,192,87,0.019179261,0.001562334,0.017616927
2,192,88,0.018366479,0.001094051,0.017272428
2,192,89,0.019391743,0.001763833,0.01762791
2,192,90,0.018553017,0.001187006,0.017366011
2,192,91,0.01946388,0.001768586,0.017695294
2,192,92,0.018466021,0.001199672,0.017266349
2,192,93,0.019243254,0.001721704,0.01752155
2,192,94,0.018558366,0.001234172,0.017324194
2,192,95,0.019642396,0.001979268,0.017663128
2,192,96,0.018351726,0.001006491,0.017345235
2,192,97,0.019328432,0.001778897,0.017549535
2,192,98,0.018233031,0.000991964,0.017241067
2,192,99,0.019732513,0.001975969,0.017756544
2,192,100,0.018737636,0.001186549,0.017551087
2,192,101,0.019115352,0.001388696,0.017726656
2,192,102,0.018558215,0.000970632,0.017587583
2,192,103,0.01970896,0.001866637,0.017842323
2,192,104,0.018118454,0.000743653,0.017374801
2,192,105,0.019167517,0.00144488,0.017722637
2,192,106,0.018325542,0.000855967,0.017469575
2,192,107,0.018912705,0.001346233,0.017566472
2,192,108,0.018276046,0.001007677,0.017268369
2,192,109,0.019354339,0.001829193,0.017525146
2,192,110,0.018281026,0.001196491,0.017084535
3,192,1,0.625401842,0.490606077,0.134795765
3,192,2,0.130791338,0.11684011,0.013951228
3,192,3,0.034934089,0.022559077,0.012375012
3,192,4,0.055848923,0.043781316,0.012067607
3,192,5,0.05271131,0.039762884,0.012948426
3,192,6,0.013218711,0.000538977,0.012679734
3,192,7,0.046050004,0.03274341,0.013306594
3,192,8,0.022260371,0.008223069,0.014037302
3,192,9,0.024088057,0.008707596,0.015380461
